nominal
 CH3COOOH  C4H9O     C3H7O     CH3ONO2   NO3       CH3COOO   C2H5OO    
 C2H4OOH   HONO2     C2H5OOH   CH3ONO    C3H8CO    CH3NO2    1C4H9     
 2C4H9     C4H10     C3H7OH    CH3OO     C4H8Y     CH3OOH    HNO2      
 CH3OCO    C2H5CHO   C2H6CO    C2H5O     CH3NO     2C2H4OH   NO2       
 2C3H7     1C3H7     1C2H4OH   HONO      C3H8      HCNN      cC2H4O    
 HCNO      C2H5OH    N2O       C2H3CHOZ  OOH       CH2CHO    H2O2      
 CH3CO     NCO       CH3O      O2        CH3CHO    HNO       C         
 CHCO      CO2H      HOCN      C2H5      C2H       CH2OH     CH        
 C2H6      C2H3      CH2CO     NNH       H2CN      CH3OH     N4S       
 N2D       CN        1CH2      HNCO      NO        O3P       O1D       
 C2H4      NH        3CH2      HCO       C2H2      H2CO      NH2       
 CO2       OH        CH3       HCN       NH3       CH4       N2        
 CO        H2O       H         He        H2        N2O4      N2O3      
 N2H2      N2H3      N2H4      HNNO      HNOH      HNO3      NH2OH     
 H2NO      CNN       H2CNO     C2N2      HCNH      HNC       HON       
 NCN       
  
 Vitesses de reaction nominales a zmax
 CH3OH      C2H                                         C2H2       CH3O                                         0.199E-11  0.268E+01   298
 C2H2       CH3O                                        CH3OH      C2H                                          0.192E-12  0.268E+01  1255
 CH3OH      C2H3                                        C2H4       CH2OH                                        0.606E-12  0.268E+01   299
 C2H4       CH2OH                                       CH3OH      C2H3                                         0.753E-13  0.268E+01  1256
 CH3OH      C2H3                                        C2H4       CH3O                                         0.135E-12  0.268E+01   300
 C2H4       CH3O                                        CH3OH      C2H3                                         0.105E-11  0.268E+01  1257
 CH3OH      O3P                                         CH2OH      OH                                           0.168E-10  0.268E+01   301
 CH2OH      OH                                          CH3OH      O3P                                          0.157E-12  0.268E+01  1258
 CH3OH      O3P                                         CH3O       OH                                           0.590E-11  0.268E+01   302
 CH3O       OH                                          CH3OH      O3P                                          0.346E-11  0.268E+01  1259
 CH3OH      OH                                          CH2OH      H2O                                          0.289E-10  0.268E+01   303
 CH2OH      H2O                                         CH3OH      OH                                           0.648E-13  0.268E+01  1260
 CH3OH      OH                                          CH3O       H2O                                          0.504E-11  0.268E+01   304
 CH3O       H2O                                         CH3OH      OH                                           0.708E-12  0.268E+01  1261
 CH3OH      CH3O                                        CH3OH      CH2OH                                        0.202E-12  0.268E+01   305
 CH3OH      CH2OH                                       CH3OH      CH3O                                         0.322E-14  0.268E+01  1262
 CHCO       H                                           3CH2       CO                                           0.249E-09  0.268E+01   306
 3CH2       CO                                          CHCO       H                                            0.153E-12  0.268E+01  1263
 CHCO       H                                           1CH2       CO                                           0.216E-09  0.268E+01   307
 1CH2       CO                                          CHCO       H                                            0.237E-11  0.268E+01  1264
 CHCO       3CH2                                        C2H        H2CO                                         0.107E-10  0.268E+01   308
 C2H        H2CO                                        CHCO       3CH2                                         0.131E-12  0.268E+01  1265
 CHCO       3CH2                                        C2H3       CO                                           0.498E-10  0.268E+01   309
 C2H3       CO                                          CHCO       3CH2                                         0.303E-17  0.268E+01  1266
 CHCO       O3P                                         CO         CO         H                                 0.159E-09  0.268E+01   310
 CO         CO         H                                CHCO       O3P                                          0.100E-42  0.268E+01  1267
 CHCO       OH                                          HCO        CO         H                                 0.166E-10  0.268E+01   311
 HCO        CO         H                                CHCO       OH                                           0.817E-36  0.268E+01  1268
 CH2CO      H                                           CH3        CO                                           0.141E-10  0.268E+01   312
 CH3        CO                                          CH2CO      H                                            0.792E-15  0.268E+01  1269
 CH2CO      H                                           CHCO       H2                                           0.143E-10  0.268E+01   313
 CHCO       H2                                          CH2CO      H                                            0.690E-12  0.268E+01  1270
 CH2CO      3CH2                                        C2H4       CO                                           0.216E-09  0.268E+01   314
 C2H4       CO                                          CH2CO      3CH2                                         0.566E-17  0.268E+01  1271
 CH2CO      O3P                                         3CH2       CO2                                          0.225E-11  0.268E+01   315
 3CH2       CO2                                         CH2CO      O3P                                          0.395E-16  0.268E+01  1272
 CH2CO      O3P                                         CHCO       OH                                           0.285E-11  0.268E+01   316
 CHCO       OH                                          CH2CO      O3P                                          0.924E-13  0.268E+01  1273
 CH2CO      OH                                          CHCO       H2O                                          0.802E-11  0.268E+01   317
 CHCO       H2O                                         CH2CO      OH                                           0.623E-13  0.268E+01  1274
 CH2CO      OH                                          CH3        CO2                                          0.419E-11  0.268E+01   318
 CH3        CO2                                         CH2CO      OH                                           0.207E-15  0.268E+01  1275
 CH2CO      OH                                          CH2OH      CO                                           0.777E-11  0.268E+01   319
 CH2OH      CO                                          CH2CO      OH                                           0.768E-14  0.268E+01  1276
 CH3CO      H                                           CH3        HCO                                          0.159E-09  0.268E+01   320
 CH3        HCO                                         CH3CO      H                                            0.117E-11  0.268E+01  1277
 CH3CO      1CH2                                        CH3        CH2CO                                        0.299E-10  0.268E+01   321
 CH3        CH2CO                                       CH3CO      1CH2                                         0.787E-17  0.268E+01  1278
 CH3CO      3CH2                                        CH3        CH2CO                                        0.299E-10  0.268E+01   322
 CH3        CH2CO                                       CH3CO      3CH2                                         0.140E-15  0.268E+01  1279
 CH3CO      O3P                                         CH3        CO2                                          0.160E-10  0.268E+01   323
 CH3        CO2                                         CH3CO      O3P                                          0.132E-20  0.268E+01  1280
 CH3CO      OH                                          CH2CO      H2O                                          0.199E-10  0.268E+01   324
 CH2CO      H2O                                         CH3CO      OH                                           0.799E-17  0.268E+01  1281
 CH3CO      OH                                          CH3        CO         OH                                0.498E-10  0.268E+01   325
 CH3        CO         OH                               CH3CO      OH                                           0.281E-34  0.268E+01  1282
 CH3CO      HCO                                         CH3CHO     CO                                           0.150E-10  0.268E+01   326
 CH3CHO     CO                                          CH3CO      HCO                                          0.502E-16  0.268E+01  1283
 CH3CO      H2CO                                        CH3CHO     HCO                                          0.174E-13  0.268E+01   327
 CH3CHO     HCO                                         CH3CO      H2CO                                         0.774E-14  0.268E+01  1284
 CH3CO      CH3O                                        CH3OH      CH2CO                                        0.997E-11  0.268E+01   328
 CH3OH      CH2CO                                       CH3CO      CH3O                                         0.284E-16  0.268E+01  1285
 CH3CO      CH3O                                        H2CO       CH3CHO                                       0.997E-11  0.268E+01   329
 H2CO       CH3CHO                                      CH3CO      CH3O                                         0.665E-17  0.268E+01  1286
 CH3CO      CH3OH                                       CH3CHO     CH2OH                                        0.638E-11  0.268E+01   330
 CH3CHO     CH2OH                                       CH3CO      CH3OH                                        0.157E-10  0.268E+01  1287
 CH3CO      CH3CO                                       CH2CO      CH3CHO                                       0.199E-10  0.268E+01   331
 CH2CO      CH3CHO                                      CH3CO      CH3CO                                        0.877E-14  0.268E+01  1288
 CH3CHO     H                                           H2         CH3CO                                        0.263E-10  0.268E+01   332
 H2         CH3CO                                       CH3CHO     H                                            0.149E-12  0.268E+01  1289
 CH3CHO     CH3                                         CH3CO      CH4                                          0.123E-10  0.268E+01   333
 CH3CO      CH4                                         CH3CHO     CH3                                          0.169E-11  0.268E+01  1290
 CH3CHO     C2H3                                        C2H4       CH3CO                                        0.596E-13  0.268E+01   334
 C2H4       CH3CO                                       CH3CHO     C2H3                                         0.301E-14  0.268E+01  1291
 CH3CHO     C2H5                                        C2H6       CH3CO                                        0.332E-12  0.268E+01   335
 C2H6       CH3CO                                       CH3CHO     C2H5                                         0.285E-12  0.268E+01  1292
 CH3CHO     O3P                                         CH3CO      OH                                           0.140E-10  0.268E+01   336
 CH3CO      OH                                          CH3CHO     O3P                                          0.532E-13  0.268E+01  1293
 CH3CHO     OH                                          CH3CO      H2O                                          0.625E-11  0.268E+01   337
 CH3CO      H2O                                         CH3CHO     OH                                           0.569E-14  0.268E+01  1294
 CH3CHO     CH3O                                        CH3CO      CH3OH                                        0.268E-12  0.268E+01   338
 CH3CO      CH3OH                                       CH3CHO     CH3O                                         0.174E-14  0.268E+01  1295
 CH3CHO     CH2CHO                                      CH3CHO     CH3CO                                        0.415E-16  0.268E+01   339
 CH3CHO     CH3CO                                       CH3CHO     CH2CHO                                       0.111E-16  0.268E+01  1296
 cC2H4O     H                                           H2         CH2CHO                                       0.534E-11  0.268E+01   340
 H2         CH2CHO                                      cC2H4O     H                                            0.226E-16  0.268E+01  1297
 cC2H4O     H                                           H2O        C2H3                                         0.276E-14  0.268E+01   341
 H2O        C2H3                                        cC2H4O     H                                            0.974E-20  0.268E+01  1298
 cC2H4O     H                                           C2H4       OH                                           0.524E-13  0.268E+01   342
 C2H4       OH                                          cC2H4O     H                                            0.103E-16  0.268E+01  1299
 cC2H4O     CH3                                         CH4        CH2CHO                                       0.136E-12  0.268E+01   343
 CH4        CH2CHO                                      cC2H4O     CH3                                          0.139E-16  0.268E+01  1300
 cC2H4O     CH3                                         C2H5       H2CO                                         0.436E-13  0.268E+01   344
 C2H5       H2CO                                        cC2H4O     CH3                                          0.173E-16  0.268E+01  1301
 cC2H4O     CH3                                         C2H4       CH3O                                         0.467E-14  0.268E+01   345
 C2H4       CH3O                                        cC2H4O     CH3                                          0.101E-14  0.268E+01  1302
 cC2H4O     C2H                                         C2H2       CH2CHO                                       0.230E-12  0.268E+01   346
 C2H2       CH2CHO                                      cC2H4O     C2H                                          0.107E-18  0.268E+01  1303
 cC2H4O     C2H3                                        C2H4       CH2CHO                                       0.428E-12  0.268E+01   347
 C2H4       CH2CHO                                      cC2H4O     C2H3                                         0.161E-16  0.268E+01  1304
 cC2H4O     C2H5                                        C2H6       CH2CHO                                       0.917E-13  0.268E+01   348
 C2H6       CH2CHO                                      cC2H4O     C2H5                                         0.586E-16  0.268E+01  1305
 cC2H4O     O3P                                         OH         CH2CHO                                       0.100E-11  0.268E+01   349
 OH         CH2CHO                                      cC2H4O     O3P                                          0.284E-17  0.268E+01  1306
 cC2H4O     OH                                          H2O        CH2CHO                                       0.135E-10  0.268E+01   350
 H2O        CH2CHO                                      cC2H4O     OH                                           0.918E-17  0.268E+01  1307
 cC2H4O     HCO                                         H2CO       CH2CHO                                       0.189E-12  0.268E+01   351
 H2CO       CH2CHO                                      cC2H4O     HCO                                          0.318E-15  0.268E+01  1308
 cC2H4O     CH3O                                        CH3OH      CH2CHO                                       0.602E-12  0.268E+01   352
 CH3OH      CH2CHO                                      cC2H4O     CH3O                                         0.290E-17  0.268E+01  1309
 cC2H4O     CH2OH                                       CH3OH      CH2CHO                                       0.729E-13  0.268E+01   353
 CH3OH      CH2CHO                                      cC2H4O     CH2OH                                        0.221E-16  0.268E+01  1310
 cC2H4O     CH3CO                                       CH3CHO     CH2CHO                                       0.141E-12  0.268E+01   354
 CH3CHO     CH2CHO                                      cC2H4O     CH3CO                                        0.105E-15  0.268E+01  1311
 cC2H4O     CH2CHO                                      CH3CHO     CH2CHO                                       0.380E-13  0.268E+01   355
 CH3CHO     CH2CHO                                      cC2H4O     CH2CHO                                       0.757E-17  0.268E+01  1312
 2C2H4OH    O2                                          CH3CHO     OOH                                          0.883E-12  0.268E+01   356
 CH3CHO     OOH                                         2C2H4OH    O2                                           0.142E-15  0.268E+01  1313
 1C2H4OH    O2                                          CH3CHO     OOH                                          0.130E-11  0.268E+01   357
 CH3CHO     OOH                                         1C2H4OH    O2                                           0.575E-15  0.268E+01  1314
 1C2H4OH    O2                                          CH3CHO     OOH                                          0.265E-09  0.268E+01   358
 CH3CHO     OOH                                         1C2H4OH    O2                                           0.117E-12  0.268E+01  1315
 1C2H4OH    H                                           CH3CHO     H2                                           0.332E-10  0.268E+01   359
 CH3CHO     H2                                          1C2H4OH    H                                            0.265E-18  0.268E+01  1316
 1C2H4OH    OH                                          CH3CHO     H2O                                          0.249E-10  0.268E+01   360
 CH3CHO     H2O                                         1C2H4OH    OH                                           0.319E-19  0.268E+01  1317
 1C2H4OH    O3P                                         CH3CHO     OH                                           0.150E-09  0.268E+01   361
 CH3CHO     OH                                          1C2H4OH    O3P                                          0.801E-18  0.268E+01  1318
 C2H5OH     O2                                          2C2H4OH    OOH                                          0.898E-15  0.268E+01   362
 2C2H4OH    OOH                                         C2H5OH     O2                                           0.282E-10  0.268E+01  1319
 C2H5OH     O2                                          1C2H4OH    OOH                                          0.841E-15  0.268E+01   363
 1C2H4OH    OOH                                         C2H5OH     O2                                           0.961E-11  0.268E+01  1320
 C2H5OH     OH                                          2C2H4OH    H2O                                          0.292E-10  0.268E+01   364
 2C2H4OH    H2O                                         C2H5OH     OH                                           0.265E-11  0.268E+01  1321
 C2H5OH     OH                                          1C2H4OH    H2O                                          0.134E-10  0.268E+01   365
 1C2H4OH    H2O                                         C2H5OH     OH                                           0.443E-12  0.268E+01  1322
 C2H5OH     O3P                                         1C2H4OH    OH                                           0.121E-09  0.268E+01   366
 1C2H4OH    OH                                          C2H5OH     O3P                                          0.167E-10  0.268E+01  1323
 C2H5OH     O3P                                         2C2H4OH    OH                                           0.314E-11  0.268E+01   367
 2C2H4OH    OH                                          C2H5OH     O3P                                          0.119E-11  0.268E+01  1324
 C2H5OH     H                                           1C2H4OH    H2                                           0.267E-11  0.268E+01   368
 1C2H4OH    H2                                          C2H5OH     H                                            0.550E-12  0.268E+01  1325
 C2H5OH     OOH                                         1C2H4OH    H2O2                                         0.785E-12  0.268E+01   369
 1C2H4OH    H2O2                                        C2H5OH     OOH                                          0.163E-10  0.268E+01  1326
 C2H5OH     CH3                                         1C2H4OH    CH4                                          0.784E-13  0.268E+01   370
 1C2H4OH    CH4                                         C2H5OH     CH3                                          0.392E-12  0.268E+01  1327
 C2H5OH     CH3                                         2C2H4OH    CH4                                          0.134E-10  0.268E+01   371
 2C2H4OH    CH4                                         C2H5OH     CH3                                          0.184E-09  0.268E+01  1328
 C2H5OH     H                                           2C2H4OH    H2                                           0.410E-12  0.268E+01   372
 2C2H4OH    H2                                          C2H5OH     H                                            0.232E-12  0.268E+01  1329
 C2H5OH     C2H5                                        2C2H4OH    C2H6                                         0.189E-12  0.268E+01   373
 2C2H4OH    C2H6                                        C2H5OH     C2H5                                         0.162E-10  0.268E+01  1330
 C2H5OH     C2H5                                        1C2H4OH    C2H6                                         0.734E-11  0.268E+01   374
 1C2H4OH    C2H6                                        C2H5OH     C2H5                                         0.229E-09  0.268E+01  1331
 C2H5OH     CH2OH                                       1C2H4OH    CH3OH                                        0.784E-13  0.268E+01   375
 1C2H4OH    CH3OH                                       C2H5OH     CH2OH                                        0.116E-11  0.268E+01  1332
 C2H5OH     CH3O                                        1C2H4OH    CH3OH                                        0.711E-13  0.268E+01   376
 1C2H4OH    CH3OH                                       C2H5OH     CH3O                                         0.167E-13  0.268E+01  1333
 C2H5OH     C2H5O                                       C2H5OH     1C2H4OH                                      0.711E-13  0.268E+01   377
 C2H5OH     1C2H4OH                                     C2H5OH     C2H5O                                        0.158E-13  0.268E+01  1334
 O2         H                                           OH         O3P                                          0.625E-11  0.268E+01   378
 OH         O3P                                         O2         H                                            0.164E-10  0.268E+01  1335
 O2         C                                           CO         O3P                                          0.199E-09  0.268E+01   379
 CO         O3P                                         O2         C                                            0.230E-22  0.268E+01  1336
 O2         CH                                          HCO        O3P                                          0.548E-10  0.268E+01   380
 HCO        O3P                                         O2         CH                                           0.760E-17  0.268E+01  1337
 O2         CH                                          CO         OH                                           0.532E-10  0.268E+01   381
 CO         OH                                          O2         CH                                           0.940E-25  0.268E+01  1338
 O2         1CH2                                        CO         OH         H                                 0.515E-11  0.268E+01   382
 CO         OH         H                                O2         1CH2                                         0.772E-42  0.268E+01  1339
 O2         3CH2                                        HCO        OH                                           0.797E-13  0.268E+01   383
 HCO        OH                                          O2         3CH2                                         0.277E-20  0.268E+01  1340
 O2         3CH2                                        CO2        H2                                           0.103E-11  0.268E+01   384
 CO2        H2                                          O2         3CH2                                         0.599E-27  0.268E+01  1341
 O2         3CH2                                        CO2        H          H                                 0.213E-11  0.268E+01   385
 CO2        H          H                                O2         3CH2                                         0.502E-41  0.268E+01  1342
 O2         3CH2                                        CO         H2O                                          0.393E-13  0.268E+01   386
 CO         H2O                                         O2         3CH2                                         0.418E-29  0.268E+01  1343
 O2         3CH2                                        CO         OH         H                                 0.160E-12  0.268E+01   387
 CO         OH         H                                O2         3CH2                                         0.426E-42  0.268E+01  1344
 O2         3CH2                                        H2CO       O3P                                          0.617E-10  0.268E+01   388
 H2CO       O3P                                         O2         3CH2                                         0.127E-14  0.268E+01  1345
 O2         CH3                                         CH3O       O3P                                          0.218E-12  0.268E+01   389
 CH3O       O3P                                         O2         CH3                                          0.634E-09  0.268E+01  1346
 O2         CH3                                         H2CO       OH                                           0.279E-12  0.268E+01   390
 H2CO       OH                                          O2         CH3                                          0.205E-17  0.268E+01  1347
 O2         CH4                                         CH3        OOH                                          0.250E-15  0.268E+01   391
 CH3        OOH                                         O2         CH4                                          0.572E-12  0.268E+01  1348
 O2         C2H                                         CO         HCO                                          0.183E-10  0.268E+01   392
 CO         HCO                                         O2         C2H                                          0.252E-24  0.268E+01  1349
 O2         C2H                                         CHCO       O3P                                          0.434E-11  0.268E+01   393
 CHCO       O3P                                         O2         C2H                                          0.730E-14  0.268E+01  1350
 O2         C2H2                                        C2H        OOH                                          0.148E-17  0.268E+01   394
 C2H        OOH                                         O2         C2H2                                         0.747E-12  0.268E+01  1351
 O2         C2H2                                        HCO        HCO                                          0.153E-12  0.268E+01   395
 HCO        HCO                                         O2         C2H2                                         0.100E-17  0.268E+01  1352
 O2         C2H3                                        C2H2       OOH                                          0.621E-12  0.268E+01   396
 C2H2       OOH                                         O2         C2H3                                         0.367E-13  0.268E+01  1353
 O2         C2H3                                        H2CO       HCO                                          0.129E-11  0.268E+01   397
 H2CO       HCO                                         O2         C2H3                                         0.357E-20  0.268E+01  1354
 O2         C2H3                                        O3P        CH2CHO                                       0.581E-13  0.268E+01   398
 O3P        CH2CHO                                      O2         C2H3                                         0.293E-13  0.268E+01  1355
 O2         C2H4                                        C2H3       OOH                                          0.225E-15  0.268E+01   399
 C2H3       OOH                                         O2         C2H4                                         0.140E-11  0.268E+01  1356
 O2         C2H5                                        C2H5OO                                                  0.161E-10  0.268E+01   400
 C2H5OO                                                 O2         C2H5                                         0.177E+13  0.268E+01  1357
 O2         C2H5                                        C2H4       OOH                                          0.591E-12  0.268E+01   401
 C2H4       OOH                                         O2         C2H5                                         0.678E-13  0.268E+01  1358
 O2         C2H5                                        C2H5O      O3P                                          0.908E-14  0.268E+01   402
 C2H5O      O3P                                         O2         C2H5                                         0.282E-10  0.268E+01  1359
 O2         C2H5                                        CH3CHO     OH                                           0.218E-13  0.268E+01   403
 CH3CHO     OH                                          O2         C2H5                                         0.805E-19  0.268E+01  1360
 O2         C2H6                                        C2H5       OOH                                          0.113E-14  0.268E+01   404
 C2H5       OOH                                         O2         C2H6                                         0.415E-12  0.268E+01  1361
 O2         OH                                          OOH        O3P                                          0.346E-15  0.268E+01   405
 OOH        O3P                                         O2         OH                                           0.287E-10  0.268E+01  1362
 O2         CO                                          CO2        O3P                                          0.114E-15  0.268E+01   406
 CO2        O3P                                         O2         CO                                           0.262E-15  0.268E+01  1363
 O2         HCO                                         CO         OOH                                          0.115E-10  0.268E+01   407
 CO         OOH                                         O2         HCO                                          0.122E-13  0.268E+01  1364
 O2         H2CO                                        HCO        OOH                                          0.644E-14  0.268E+01   408
 HCO        OOH                                         O2         H2CO                                         0.899E-12  0.268E+01  1365
 O2         CH3O                                        H2CO       OOH                                          0.251E-13  0.268E+01   409
 H2CO       OOH                                         O2         CH3O                                         0.527E-17  0.268E+01  1366
 O2         CH2OH                                       H2CO       OOH                                          0.199E-11  0.268E+01   410
 H2CO       OOH                                         O2         CH2OH                                        0.262E-13  0.268E+01  1367
 O2         CH3OH                                       CH2OH      OOH                                          0.169E-14  0.268E+01   411
 CH2OH      OOH                                         O2         CH3OH                                        0.131E-11  0.268E+01  1368
 O2         CHCO                                        CO         CO         OH                                0.144E-11  0.268E+01   412
 CO         CO         OH                               O2         CHCO                                         0.236E-44  0.268E+01  1369
 O2         CH3CO                                       CH3COOO                                                 0.399E-11  0.268E+01   413
 CH3COOO                                                O2         CH3CO                                        0.118E+12  0.268E+01  1370
 O2         CH2CHO                                      H2CO       OH         CO                                0.133E-13  0.268E+01   414
 H2CO       OH         CO                               O2         CH2CHO                                       0.148E-43  0.268E+01  1371
 O2         CH2CHO                                      CH2CO      OOH                                          0.226E-13  0.268E+01   415
 CH2CO      OOH                                         O2         CH2CHO                                       0.837E-15  0.268E+01  1372
 O2         CH3CHO                                      CH3CO      OOH                                          0.274E-13  0.268E+01   416
 CH3CO      OOH                                         O2         CH3CHO                                       0.861E-11  0.268E+01  1373
 O2         CH3CHO                                      CH2CHO     OOH                                          0.315E-13  0.268E+01   417
 CH2CHO     OOH                                         O2         CH3CHO                                       0.371E-10  0.268E+01  1374
 O2         cC2H4O                                      OOH        CH2CHO                                       0.213E-14  0.268E+01   418
 OOH        CH2CHO                                      O2         cC2H4O                                       0.499E-15  0.268E+01  1375
 O2         C2H5O                                       CH3CHO     OOH                                          0.685E-13  0.268E+01   419
 CH3CHO     OOH                                         O2         C2H5O                                        0.675E-17  0.268E+01  1376
 OOH        H                                           H2         O2                                           0.525E-10  0.268E+01   420
 H2         O2                                          OOH        H                                            0.946E-15  0.268E+01  1377
 OOH        H                                           OH         OH                                           0.232E-09  0.268E+01   421
 OH         OH                                          OOH        H                                            0.733E-14  0.268E+01  1378
 OOH        H                                           H2O        O3P                                          0.343E-10  0.268E+01   422
 H2O        O3P                                         OOH        H                                            0.260E-15  0.268E+01  1379
 OOH        1CH2                                        H2CO       OH                                           0.498E-10  0.268E+01   423
 H2CO       OH                                          OOH        1CH2                                         0.696E-21  0.268E+01  1380
 OOH        3CH2                                        H2CO       OH                                           0.299E-10  0.268E+01   424
 H2CO       OH                                          OOH        3CH2                                         0.745E-20  0.268E+01  1381
 OOH        CH3                                         CH3O       OH                                           0.299E-10  0.268E+01   425
 CH3O       OH                                          OOH        CH3                                          0.105E-11  0.268E+01  1382
 OOH        CH4                                         CH3        H2O2                                         0.662E-13  0.268E+01   426
 CH3        H2O2                                        OOH        CH4                                          0.275E-12  0.268E+01  1383
 OOH        C2H                                         CHCO       OH                                           0.299E-10  0.268E+01   427
 CHCO       OH                                          OOH        C2H                                          0.608E-18  0.268E+01  1384
 OOH        C2H2                                        CH2CO      OH                                           0.171E-14  0.268E+01   428
 CH2CO      OH                                          OOH        C2H2                                         0.652E-20  0.268E+01  1385
 OOH        C2H3                                        OH         CH3        CO                                0.498E-10  0.268E+01   429
 OH         CH3        CO                               OOH        C2H3                                         0.457E-40  0.268E+01  1386
 OOH        C2H4                                        CH3CHO     OH                                           0.175E-14  0.268E+01   430
 CH3CHO     OH                                          OOH        C2H4                                         0.563E-19  0.268E+01  1387
 OOH        C2H4                                        cC2H4O     OH                                           0.826E-13  0.268E+01   431
 cC2H4O     OH                                          OOH        C2H4                                         0.134E-13  0.268E+01  1388
 OOH        C2H5                                        CH3        H2CO       OH                                0.399E-10  0.268E+01   432
 CH3        H2CO       OH                               OOH        C2H5                                         0.177E-36  0.268E+01  1389
 OOH        C2H5                                        C2H4       H2O2                                         0.498E-12  0.268E+01   433
 C2H4       H2O2                                        OOH        C2H5                                         0.104E-15  0.268E+01  1390
 OOH        C2H6                                        C2H5       H2O2                                         0.241E-12  0.268E+01   434
 C2H5       H2O2                                        OOH        C2H6                                         0.160E-12  0.268E+01  1391
 OOH        OH                                          H2O        O2                                           0.538E-10  0.268E+01   435
 H2O        O2                                          OOH        OH                                           0.156E-15  0.268E+01  1392
 OOH        CO                                          CO2        OH                                           0.137E-11  0.268E+01   436
 CO2        OH                                          OOH        CO                                           0.383E-16  0.268E+01  1393
 OOH        HCO                                         OH         H          CO2                               0.498E-10  0.268E+01   437
 OH         H          CO2                              OOH        HCO                                          0.107E-36  0.268E+01  1394
 OOH        H2CO                                        HCO        H2O2                                         0.284E-12  0.268E+01   438
 HCO        H2O2                                        OOH        H2CO                                         0.720E-13  0.268E+01  1395
 OOH        CH3O                                        H2CO       H2O2                                         0.498E-12  0.268E+01   439
 H2CO       H2O2                                        OOH        CH3O                                         0.190E-18  0.268E+01  1396
 OOH        CH2OH                                       H2CO       H2O2                                         0.199E-10  0.268E+01   440
 H2CO       H2O2                                        OOH        CH2OH                                        0.476E-15  0.268E+01  1397
 OOH        CH3OH                                       CH2OH      H2O2                                         0.994E-14  0.268E+01   441
 CH2OH      H2O2                                        OOH        CH3OH                                        0.140E-13  0.268E+01  1398
 OOH        CH3CO                                       CH3        CO2        OH                                0.498E-10  0.268E+01   442
 CH3        CO2        OH                               OOH        CH3CO                                        0.783E-39  0.268E+01  1399
 OOH        CH3CHO                                      CH3CO      H2O2                                         0.184E-12  0.268E+01   443
 CH3CO      H2O2                                        OOH        CH3CHO                                       0.105E-12  0.268E+01  1400
 OOH        cC2H4O                                      H2O2       CH2CHO                                       0.976E-13  0.268E+01   444
 H2O2       CH2CHO                                      OOH        cC2H4O                                       0.415E-16  0.268E+01  1401
 OOH        OOH                                         H2O2       O2                                           0.309E-12  0.268E+01   445
 H2O2       O2                                          OOH        OOH                                          0.560E-15  0.268E+01  1402
 OOH        OOH                                         H2O2       O2                                           0.498E-10  0.268E+01   446
 H2O2       O2                                          OOH        OOH                                          0.904E-13  0.268E+01  1403
 H2O2       H                                           H2         OOH                                          0.125E-11  0.268E+01   447
 H2         OOH                                         H2O2       H                                            0.124E-13  0.268E+01  1404
 H2O2       H                                           H2O        OH                                           0.752E-11  0.268E+01   448
 H2O        OH                                          H2O2       H                                            0.379E-18  0.268E+01  1405
 H2O2       1CH2                                        CH3O       OH                                           0.498E-10  0.268E+01   449
 CH3O       OH                                          H2O2       1CH2                                         0.183E-14  0.268E+01  1406
 H2O2       C2H3                                        C2H4       OOH                                          0.227E-13  0.268E+01   450
 C2H4       OOH                                         H2O2       C2H3                                         0.201E-14  0.268E+01  1407
 H2O2       O3P                                         OH         OOH                                          0.454E-12  0.268E+01   451
 OH         OOH                                         H2O2       O3P                                          0.302E-14  0.268E+01  1408
 H2O2       OH                                          H2O        OOH                                          0.973E-11  0.268E+01   452
 H2O        OOH                                         H2O2       OH                                           0.155E-13  0.268E+01  1409
 CO2        3CH2                                        H2CO       CO                                           0.382E-13  0.268E+01   453
 H2CO       CO                                          CO2        3CH2                                         0.342E-18  0.268E+01  1410
 CH3OO      H                                           CH3O       OH                                           0.159E-09  0.268E+01   454
 CH3O       OH                                          CH3OO      H                                            0.222E-14  0.268E+01  1411
 CH3OO      H2                                          CH3OOH     H                                            0.162E-12  0.268E+01   455
 CH3OOH     H                                           CH3OO      H2                                           0.319E-11  0.268E+01  1412
 CH3OO      1CH2                                        H2CO       CH3O                                         0.299E-10  0.268E+01   456
 H2CO       CH3O                                        CH3OO      1CH2                                         0.184E-21  0.268E+01  1413
 CH3OO      3CH2                                        H2CO       CH3O                                         0.299E-10  0.268E+01   457
 H2CO       CH3O                                        CH3OO      3CH2                                         0.328E-20  0.268E+01  1414
 CH3OO      CH3                                         CH3O       CH3O                                         0.113E-10  0.268E+01   458
 CH3O       CH3O                                        CH3OO      CH3                                          0.174E-12  0.268E+01  1415
