nominal
 CH3COOOH  C4H9O     C3H7O     CH3ONO2   NO3       CH3COOO   C2H5OO    
 C2H4OOH   HONO2     C2H5OOH   CH3ONO    C3H8CO    CH3NO2    1C4H9     
 2C4H9     C4H10     C3H7OH    CH3OO     C4H8Y     CH3OOH    HNO2      
 CH3OCO    C2H5CHO   C2H6CO    C2H5O     CH3NO     2C2H4OH   NO2       
 2C3H7     1C3H7     1C2H4OH   HONO      C3H8      HCNN      cC2H4O    
 HCNO      C2H5OH    N2O       C2H3CHOZ  OOH       CH2CHO    H2O2      
 CH3CO     NCO       CH3O      O2        CH3CHO    HNO       C         
 CHCO      CO2H      HOCN      C2H5      C2H       CH2OH     CH        
 C2H6      C2H3      CH2CO     NNH       H2CN      CH3OH     N4S       
 N2D       CN        1CH2      HNCO      NO        O3P       O1D       
 C2H4      NH        3CH2      HCO       C2H2      H2CO      NH2       
 CO2       OH        CH3       HCN       NH3       CH4       N2        
 CO        H2O       H         He        H2        N2O4      N2O3      
 N2H2      N2H3      N2H4      HNNO      HNOH      HNO3      NH2OH     
 H2NO      CNN       H2CNO     C2N2      HCNH      HNC       HON       
 NCN       
  
 Vitesses de reaction nominales a zmax
 1C2H4OH                                                CH3CHO     H                                            0.693E+10  0.268E+01    74
 CH3CHO     H                                           1C2H4OH                                                 0.223E-12  0.268E+01  1031
 2C2H4OH                                                1C2H4OH                                                 0.262E+09  0.268E+01    75
 1C2H4OH                                                2C2H4OH                                                 0.953E+08  0.268E+01  1032
 CH3OO                                                  H2CO       OH                                           0.478E+09  0.268E+01    76
 H2CO       OH                                          CH3OO                                                   0.102E-18  0.268E+01  1033
 CH3OOH                                                 CH3O       OH                                           0.538E+11  0.268E+01    77
 CH3O       OH                                          CH3OOH                                                  0.154E-09  0.268E+01  1034
 C2H5OO                                                 C2H4OOH                                                 0.124E+10  0.268E+01    78
 C2H4OOH                                                C2H5OO                                                  0.653E+09  0.268E+01  1035
 C2H4OOH                                                cC2H4O     OH                                           0.183E+10  0.268E+01    79
 cC2H4O     OH                                          C2H4OOH                                                 0.583E-15  0.268E+01  1036
 C2H4OOH                                                CH2OH      H2CO                                         0.584E+11  0.268E+01    80
 CH2OH      H2CO                                        C2H4OOH                                                 0.108E-17  0.268E+01  1037
 C2H4OOH                                                C2H4       OOH                                          0.113E+12  0.268E+01    81
 C2H4       OOH                                         C2H4OOH                                                 0.223E-12  0.268E+01  1038
 C2H5OOH                                                C2H5O      OH                                           0.315E+12  0.268E+01    82
 C2H5O      OH                                          C2H5OOH                                                 0.238E-09  0.268E+01  1039
 CH3COOOH                                               CH3        CO2        OH                                0.149E+13  0.268E+01    83
 CH3        CO2        OH                               CH3COOOH                                                0.219E-35  0.268E+01  1040
 NO3                                                    NO         O2                                           0.173E+06  0.268E+01    84
 NO         O2                                          NO3                                                     0.574E-21  0.268E+01  1041
 H2CNO                                                  HNCO       H                                            0.413E+07  0.268E+01    85
 HNCO       H                                           H2CNO                                                   0.137E-18  0.268E+01  1042
