# wavelength (nm), cross section(cm^2)
7.130000e+01, 3.321901e-17
7.140000e+01, 3.309486e-17
7.150000e+01, 3.297071e-17
7.160000e+01, 3.293424e-17
7.170000e+01, 3.289778e-17
7.180000e+01, 3.286131e-17
7.190000e+01, 3.282484e-17
7.200000e+01, 3.278837e-17
7.210000e+01, 3.275378e-17
7.220000e+01, 3.271919e-17
7.230000e+01, 3.268459e-17
7.240000e+01, 3.265000e-17
7.250000e+01, 3.261541e-17
7.260000e+01, 3.263367e-17
7.270000e+01, 3.265194e-17
7.280000e+01, 3.267020e-17
7.290000e+01, 3.268847e-17
7.300000e+01, 3.270673e-17
7.310000e+01, 3.275427e-17
7.320000e+01, 3.280180e-17
7.330000e+01, 3.284934e-17
7.340000e+01, 3.289688e-17
7.350000e+01, 3.294441e-17
7.360000e+01, 3.290766e-17
7.370000e+01, 3.287091e-17
7.380000e+01, 3.283415e-17
7.390000e+01, 3.279740e-17
7.400000e+01, 3.276065e-17
7.410000e+01, 3.268990e-17
7.420000e+01, 3.261915e-17
7.430000e+01, 3.254839e-17
7.440000e+01, 3.247764e-17
7.450000e+01, 3.240689e-17
7.460000e+01, 3.256837e-17
7.470000e+01, 3.272985e-17
7.480000e+01, 3.289134e-17
7.490000e+01, 3.305282e-17
7.500000e+01, 3.321430e-17
7.510000e+01, 3.330339e-17
7.520000e+01, 3.339247e-17
7.530000e+01, 3.348156e-17
7.540000e+01, 3.357065e-17
7.550000e+01, 3.365974e-17
7.560000e+01, 3.361230e-17
7.570000e+01, 3.356487e-17
7.580000e+01, 3.351743e-17
7.590000e+01, 3.347000e-17
7.600000e+01, 3.342257e-17
7.610000e+01, 3.336663e-17
7.620000e+01, 3.331070e-17
7.630000e+01, 3.325477e-17
7.640000e+01, 3.319884e-17
7.650000e+01, 3.314291e-17
7.660000e+01, 3.303307e-17
7.670000e+01, 3.292323e-17
7.680000e+01, 3.281339e-17
7.690000e+01, 3.270355e-17
7.700000e+01, 3.259372e-17
7.710000e+01, 3.255582e-17
7.720000e+01, 3.251793e-17
7.730000e+01, 3.248003e-17
7.740000e+01, 3.244214e-17
7.750000e+01, 3.240425e-17
7.760000e+01, 3.226158e-17
7.770000e+01, 3.211892e-17
7.780000e+01, 3.197626e-17
7.790000e+01, 3.183360e-17
7.800000e+01, 3.169094e-17
7.810000e+01, 3.157443e-17
7.820000e+01, 3.145793e-17
7.830000e+01, 3.134142e-17
7.840000e+01, 3.122492e-17
7.850000e+01, 3.110841e-17
7.860000e+01, 3.095503e-17
7.870000e+01, 3.080165e-17
7.880000e+01, 3.064826e-17
7.890000e+01, 3.049488e-17
7.900000e+01, 3.034150e-17
7.910000e+01, 3.007132e-17
7.920000e+01, 2.980114e-17
7.930000e+01, 2.953096e-17
7.940000e+01, 2.926079e-17
7.950000e+01, 2.899061e-17
7.960000e+01, 2.881134e-17
7.970000e+01, 2.863207e-17
7.980000e+01, 2.845281e-17
7.990000e+01, 2.827354e-17
8.000000e+01, 2.809427e-17
8.010000e+01, 2.785135e-17
8.020000e+01, 2.760843e-17
8.030000e+01, 2.736550e-17
8.040000e+01, 2.712258e-17
8.050000e+01, 2.687966e-17
8.060000e+01, 2.661883e-17
8.070000e+01, 2.635800e-17
8.080000e+01, 2.609717e-17
8.090000e+01, 2.583634e-17
8.100000e+01, 2.557552e-17
8.110000e+01, 2.532149e-17
8.120000e+01, 2.506746e-17
8.130000e+01, 2.481343e-17
8.140000e+01, 2.455940e-17
8.150000e+01, 2.430537e-17
8.160000e+01, 2.444996e-17
8.170000e+01, 2.459456e-17
8.180000e+01, 2.473915e-17
8.190000e+01, 2.488374e-17
8.200000e+01, 2.502834e-17
8.210000e+01, 2.493123e-17
8.220000e+01, 2.483413e-17
8.230000e+01, 2.473702e-17
8.240000e+01, 2.463992e-17
8.250000e+01, 2.454281e-17
8.260000e+01, 2.443388e-17
8.270000e+01, 2.432494e-17
8.280000e+01, 2.421600e-17
8.290000e+01, 2.410707e-17
8.300000e+01, 2.399813e-17
8.310000e+01, 2.387473e-17
8.320000e+01, 2.375134e-17
8.330000e+01, 2.362794e-17
8.340000e+01, 2.350454e-17
8.350000e+01, 2.338114e-17
8.360000e+01, 2.325562e-17
8.370000e+01, 2.313011e-17
8.380000e+01, 2.300459e-17
8.390000e+01, 2.287908e-17
8.400000e+01, 2.275356e-17
8.410000e+01, 2.263239e-17
8.420000e+01, 2.251121e-17
8.430000e+01, 2.239004e-17
8.440000e+01, 2.226887e-17
8.450000e+01, 2.214769e-17
8.460000e+01, 2.201711e-17
8.470000e+01, 2.188652e-17
8.480000e+01, 2.175594e-17
8.490000e+01, 2.162536e-17
8.500000e+01, 2.149477e-17
8.510000e+01, 2.133824e-17
8.520000e+01, 2.118171e-17
8.530000e+01, 2.102518e-17
8.540000e+01, 2.086865e-17
8.550000e+01, 2.071212e-17
8.560000e+01, 2.044777e-17
8.570000e+01, 2.018342e-17
8.580000e+01, 1.991907e-17
8.590000e+01, 1.965472e-17
8.600000e+01, 1.939037e-17
8.610000e+01, 1.919801e-17
8.620000e+01, 1.900565e-17
8.630000e+01, 1.881329e-17
8.640000e+01, 1.862093e-17
8.650000e+01, 1.842857e-17
8.660000e+01, 1.838509e-17
8.670000e+01, 1.834160e-17
8.680000e+01, 1.829812e-17
8.690000e+01, 1.825463e-17
8.700000e+01, 1.821115e-17
8.710000e+01, 1.816350e-17
8.720000e+01, 1.811585e-17
8.730000e+01, 1.806821e-17
8.740000e+01, 1.802056e-17
8.750000e+01, 1.797292e-17
8.760000e+01, 1.773606e-17
8.770000e+01, 1.749919e-17
8.780000e+01, 1.726233e-17
8.790000e+01, 1.702547e-17
8.800000e+01, 1.678861e-17
8.810000e+01, 1.658698e-17
8.820000e+01, 1.638535e-17
8.830000e+01, 1.618372e-17
8.840000e+01, 1.598209e-17
8.850000e+01, 1.578047e-17
8.860000e+01, 1.545718e-17
8.870000e+01, 1.513390e-17
8.880000e+01, 1.481061e-17
8.890000e+01, 1.448732e-17
8.900000e+01, 1.416404e-17
8.910000e+01, 1.404882e-17
8.920000e+01, 1.393361e-17
8.930000e+01, 1.381839e-17
8.940000e+01, 1.370318e-17
8.950000e+01, 1.358796e-17
8.960000e+01, 1.350593e-17
8.970000e+01, 1.342390e-17
8.980000e+01, 1.334186e-17
8.990000e+01, 1.325983e-17
9.000000e+01, 1.317780e-17
9.010000e+01, 1.306664e-17
9.020000e+01, 1.295547e-17
9.030000e+01, 1.284431e-17
9.040000e+01, 1.273315e-17
9.050000e+01, 1.262199e-17
9.060000e+01, 1.257734e-17
9.070000e+01, 1.253270e-17
9.080000e+01, 1.248805e-17
9.090000e+01, 1.244341e-17
9.100000e+01, 1.239876e-17
9.110000e+01, 1.237014e-17
9.120000e+01, 1.234152e-17
9.130000e+01, 1.231289e-17
9.140000e+01, 1.228427e-17
9.150000e+01, 1.225565e-17
9.160000e+01, 1.220707e-17
9.170000e+01, 1.215850e-17
9.180000e+01, 1.210992e-17
9.190000e+01, 1.206135e-17
9.200000e+01, 1.201277e-17
9.210000e+01, 1.195868e-17
9.220000e+01, 1.190459e-17
9.230000e+01, 1.185050e-17
9.240000e+01, 1.179640e-17
9.250000e+01, 1.174231e-17
9.260000e+01, 1.163853e-17
9.270000e+01, 1.153475e-17
9.280000e+01, 1.143097e-17
9.290000e+01, 1.132719e-17
9.300000e+01, 1.122340e-17
9.310000e+01, 1.115950e-17
9.320000e+01, 1.109559e-17
9.330000e+01, 1.103168e-17
9.340000e+01, 1.096778e-17
9.350000e+01, 1.090387e-17
9.360000e+01, 1.096253e-17
9.370000e+01, 1.102119e-17
9.380000e+01, 1.107985e-17
9.390000e+01, 1.113851e-17
9.400000e+01, 1.119717e-17
9.410000e+01, 1.125583e-17
9.420000e+01, 1.131449e-17
9.430000e+01, 1.137315e-17
9.440000e+01, 1.143181e-17
9.450000e+01, 1.149047e-17
9.460000e+01, 1.143531e-17
9.470000e+01, 1.138016e-17
9.480000e+01, 1.132500e-17
9.490000e+01, 1.126984e-17
9.500000e+01, 1.121469e-17
9.510000e+01, 1.115953e-17
9.520000e+01, 1.110437e-17
9.530000e+01, 1.104922e-17
9.540000e+01, 1.099406e-17
9.550000e+01, 1.093891e-17
9.560000e+01, 1.088375e-17
9.570000e+01, 1.082859e-17
9.580000e+01, 1.077344e-17
9.590000e+01, 1.071828e-17
9.600000e+01, 1.066312e-17
9.610000e+01, 1.060797e-17
9.620000e+01, 1.055281e-17
9.630000e+01, 1.049766e-17
9.640000e+01, 1.044250e-17
9.650000e+01, 1.038734e-17
9.660000e+01, 1.033219e-17
9.670000e+01, 1.027703e-17
9.680000e+01, 1.022187e-17
9.690000e+01, 1.016672e-17
9.700000e+01, 1.011156e-17
9.710000e+01, 1.005641e-17
9.720000e+01, 1.000125e-17
9.730000e+01, 9.946094e-18
9.740000e+01, 9.890937e-18
9.750000e+01, 9.835781e-18
9.760000e+01, 9.780625e-18
9.770000e+01, 9.725469e-18
9.780000e+01, 9.670312e-18
9.790000e+01, 9.615156e-18
9.800000e+01, 9.560000e-18
9.810000e+01, 9.403800e-18
9.820000e+01, 9.247600e-18
9.830000e+01, 9.091400e-18
9.840000e+01, 8.935200e-18
9.850000e+01, 8.779000e-18
9.860000e+01, 8.622800e-18
9.870000e+01, 8.466600e-18
9.880000e+01, 8.310400e-18
9.890000e+01, 8.154200e-18
9.900000e+01, 7.998000e-18
9.910000e+01, 8.243600e-18
9.920000e+01, 8.489200e-18
9.930000e+01, 8.734800e-18
9.940000e+01, 8.980400e-18
9.950000e+01, 9.226000e-18
9.960000e+01, 9.226000e-18
9.970000e+01, 9.226000e-18
9.980000e+01, 9.226000e-18
9.990000e+01, 9.226000e-18
1.000000e+02, 9.226000e-18
1.001000e+02, 9.226000e-18
1.002000e+02, 9.226000e-18
1.003000e+02, 9.226000e-18
1.004000e+02, 9.226000e-18
1.005000e+02, 9.226000e-18
1.006000e+02, 9.226000e-18
1.007000e+02, 9.226000e-18
1.008000e+02, 9.226000e-18
1.009000e+02, 9.226000e-18
1.010000e+02, 9.226000e-18
1.011000e+02, 9.226000e-18
1.012000e+02, 9.226000e-18
1.013000e+02, 9.226000e-18
1.014000e+02, 9.226000e-18
1.015000e+02, 9.226000e-18
1.016000e+02, 9.226000e-18
