# wavelength (nm), cross section(cm^2) dissociation cross section(cm^2)
0.06, 3.80E-23, 0.00E+00
0.11, 3.70E-22, 0.00E+00
0.24, 3.00E-21, 0.00E+00
0.62, 4.60E-20, 0.00E+00
1.26, 3.40E-19, 0.00E+00
2.26, 1.90E-18, 0.00E+00
2.36, 4.90E-19, 0.00E+00
2.46, 5.40E-19, 0.00E+00
2.91, 8.20E-19, 0.00E+00
3.04, 1.50E-19, 0.00E+00
6.21, 9.00E-19, 0.00E+00
12.17, 4.10E-18, 0.00E+00
24.86, 1.50E-17, 0.00E+00
62.58, 3.90E-17, 0.00E+00
91.5, 4.50E-17, 0.00E+00
94.0, 3.00E-17, 0.00E+00
108.0, 9.35E-18, 2.52E-18
110.0, 1.30E-17, 3.51E-18
112.0, 1.19E-17, 3.93E-18
114.0, 1.12E-17, 4.48E-18
116.0, 7.44E-18, 3.35E-18
118.0, 7.82E-18, 3.64E-18
120.0, 7.06E-18, 3.32E-18
122.0, 1.03E-17, 5.11E-18
124.0, 1.77E-17, 8.81E-18
126.0, 2.98E-17, 1.49E-17
128.0, 2.90E-17, 1.45E-17
130.0, 1.34E-17, 6.70E-18
132.0, 6.32E-18, 3.16E-18
134.0, 1.15E-17, 5.75E-18
136.0, 8.56E-18, 4.28E-18
138.0, 1.03E-17, 5.15E-18
140.0, 1.12E-17, 5.60E-18
142.0, 1.30E-17, 6.50E-18
144.0, 1.90E-17, 9.50E-18
146.0, 1.23E-17, 6.15E-18
148.0, 1.04E-17, 5.20E-18
150.0, 1.08E-17, 5.40E-18
152.0, 2.01E-17, 1.00E-17
154.0, 1.54E-17, 7.70E-18
156.0, 1.50E-17, 7.50E-18
158.0, 1.41E-17, 7.05E-18
160.0, 1.48E-17, 7.40E-18
165.0, 1.57E-17, 7.85E-18
170.0, 1.64E-17, 8.20E-18
175.0, 1.04E-17, 5.20E-18
180.0, 6.32E-18, 3.16E-18
185.0, 2.60E-19, 1.30E-19
185.13, 2.57E-19, 1.29E-19
185.25, 2.71E-19, 1.35E-19
185.38, 2.46E-19, 1.23E-19
185.5, 2.46E-19, 1.23E-19
185.63, 2.72E-19, 1.36E-19
185.75, 2.39E-19, 1.19E-19
185.88, 2.65E-19, 1.32E-19
186.0, 2.69E-19, 1.35E-19
186.13, 2.77E-19, 1.38E-19
186.25, 2.78E-19, 1.39E-19
186.38, 2.34E-19, 1.17E-19
186.5, 2.40E-19, 1.20E-19
186.63, 2.71E-19, 1.35E-19
186.75, 2.75E-19, 1.37E-19
186.88, 2.47E-19, 1.24E-19
187.0, 2.61E-19, 1.30E-19
187.13, 2.62E-19, 1.31E-19
187.25, 2.77E-19, 1.38E-19
187.38, 2.60E-19, 1.30E-19
187.5, 2.83E-19, 1.42E-19
187.63, 2.71E-19, 1.35E-19
187.75, 2.54E-19, 1.27E-19
187.88, 2.79E-19, 1.40E-19
188.0, 2.87E-19, 1.43E-19
188.13, 2.86E-19, 1.43E-19
188.25, 2.73E-19, 1.37E-19
188.38, 2.73E-19, 1.37E-19
188.5, 2.65E-19, 1.32E-19
188.63, 2.79E-19, 1.40E-19
188.75, 2.81E-19, 1.40E-19
188.88, 2.77E-19, 1.38E-19
189.0, 3.01E-19, 1.50E-19
189.13, 2.91E-19, 1.45E-19
189.25, 3.01E-19, 1.50E-19
189.38, 2.93E-19, 1.47E-19
189.5, 2.90E-19, 1.45E-19
189.63, 2.87E-19, 1.43E-19
189.75, 2.93E-19, 1.47E-19
189.88, 2.90E-19, 1.45E-19
190.0, 2.93E-19, 1.47E-19
190.13, 2.77E-19, 1.38E-19
190.25, 2.74E-19, 1.37E-19
190.38, 2.60E-19, 1.30E-19
190.5, 2.55E-19, 1.27E-19
190.63, 2.74E-19, 1.37E-19
190.75, 2.74E-19, 1.37E-19
190.88, 2.79E-19, 1.40E-19
191.0, 2.84E-19, 1.42E-19
191.13, 2.57E-19, 1.29E-19
191.25, 2.85E-19, 1.42E-19
191.38, 2.83E-19, 1.42E-19
191.5, 2.83E-19, 1.42E-19
191.63, 2.76E-19, 1.38E-19
191.75, 2.89E-19, 1.45E-19
