(dyn/cm2)      (K)     (cm)
Pressure     Temp    Hight       CH4        CO       H2O       CO2        H2        He      C2H2        N2       NH3       HCN
1.928E+08  1598.0  5.52E+07  4.54E-04  1.12E-05  7.93E-04  3.54E-09  8.36E-01  1.62E-01  9.26E-11  4.24E-05  5.20E-05  4.15E-08
1.833E+08  1587.0  5.66E+07  4.54E-04  1.10E-05  7.93E-04  3.54E-09  8.36E-01  1.62E-01  8.31E-11  4.28E-05  5.12E-05  3.92E-08
1.638E+08  1570.0  5.94E+07  4.54E-04  1.15E-05  7.93E-04  3.77E-09  8.36E-01  1.62E-01  7.46E-11  4.41E-05  4.86E-05  3.72E-08
1.481E+08  1562.0  6.21E+07  4.52E-04  1.28E-05  7.91E-04  4.24E-09  8.36E-01  1.62E-01  7.74E-11  4.56E-05  4.56E-05  3.82E-08
1.340E+08  1558.0  6.46E+07  4.50E-04  1.48E-05  7.89E-04  4.93E-09  8.37E-01  1.62E-01  8.65E-11  4.68E-05  4.32E-05  4.17E-08
1.213E+08  1555.0  6.72E+07  4.48E-04  1.74E-05  7.87E-04  5.78E-09  8.36E-01  1.62E-01  9.84E-11  4.78E-05  4.11E-05  4.63E-08
1.097E+08  1550.0  6.97E+07  4.45E-04  1.99E-05  7.84E-04  6.65E-09  8.36E-01  1.62E-01  1.08E-10  4.88E-05  3.92E-05  5.01E-08
9.927E+07  1544.0  7.23E+07  4.43E-04  2.25E-05  7.82E-04  7.57E-09  8.36E-01  1.62E-01  1.15E-10  4.97E-05  3.73E-05  5.33E-08
8.982E+07  1538.0  7.48E+07  4.40E-04  2.54E-05  7.79E-04  8.59E-09  8.36E-01  1.62E-01  1.23E-10  5.06E-05  3.55E-05  5.66E-08
8.125E+07  1533.0  7.74E+07  4.36E-04  2.90E-05  7.75E-04  9.82E-09  8.36E-01  1.62E-01  1.33E-10  5.15E-05  3.38E-05  6.10E-08
7.353E+07  1530.0  7.99E+07  4.32E-04  3.36E-05  7.71E-04  1.14E-08  8.37E-01  1.62E-01  1.49E-10  5.22E-05  3.23E-05  6.75E-08
6.652E+07  1527.0  8.24E+07  4.26E-04  3.89E-05  7.65E-04  1.31E-08  8.37E-01  1.62E-01  1.67E-10  5.29E-05  3.09E-05  7.46E-08
6.020E+07  1525.0  8.49E+07  4.20E-04  4.52E-05  7.59E-04  1.52E-08  8.36E-01  1.62E-01  1.90E-10  5.36E-05  2.95E-05  8.34E-08
5.446E+07  1521.0  8.74E+07  4.13E-04  5.16E-05  7.53E-04  1.73E-08  8.37E-01  1.62E-01  2.07E-10  5.42E-05  2.83E-05  9.09E-08
