(dyn/cm2)      (K)     (cm)
Pressure     Temp    Hight       CH4        CO       H2O       CO2        H2        He      C2H2        N2       NH3       HCN
5.817E+05  1419.2  1.99E+08  3.34E-06  4.62E-04  3.43E-04  8.41E-08  8.37E-01  1.62E-01  1.19E-11  6.84E-05  2.97E-07  1.08E-08
4.702E+05  1396.4  2.04E+08  2.99E-06  4.62E-04  3.43E-04  8.77E-08  8.37E-01  1.62E-01  8.36E-12  6.84E-05  2.59E-07  8.79E-09
3.800E+05  1372.5  2.09E+08  2.74E-06  4.62E-04  3.43E-04  9.19E-08  8.37E-01  1.62E-01  5.88E-12  6.84E-05  2.28E-07  7.16E-09
3.072E+05  1348.1  2.14E+08  2.57E-06  4.62E-04  3.43E-04  9.66E-08  8.37E-01  1.62E-01  4.15E-12  6.85E-05  2.02E-07  5.84E-09
2.483E+05  1322.7  2.19E+08  2.47E-06  4.62E-04  3.42E-04  1.02E-07  8.37E-01  1.62E-01  2.95E-12  6.85E-05  1.79E-07  4.77E-09
2.007E+05  1297.3  2.23E+08  2.41E-06  4.63E-04  3.42E-04  1.08E-07  8.37E-01  1.62E-01  2.10E-12  6.85E-05  1.60E-07  3.89E-09
1.622E+05  1271.8  2.28E+08  2.40E-06  4.63E-04  3.42E-04  1.15E-07  8.37E-01  1.62E-01  1.50E-12  6.85E-05  1.44E-07  3.17E-09
1.311E+05  1246.3  2.32E+08  2.43E-06  4.62E-04  3.42E-04  1.22E-07  8.37E-01  1.62E-01  1.07E-12  6.85E-05  1.30E-07  2.59E-09
1.060E+05  1221.2  2.37E+08  2.48E-06  4.62E-04  3.42E-04  1.30E-07  8.37E-01  1.62E-01  7.70E-13  6.85E-05  1.17E-07  2.12E-09
8.566E+04  1198.3  2.41E+08  2.48E-06  4.62E-04  3.42E-04  1.38E-07  8.37E-01  1.62E-01  5.50E-13  6.85E-05  1.05E-07  1.73E-09
6.924E+04  1177.1  2.45E+08  2.44E-06  4.62E-04  3.42E-04  1.47E-07  8.37E-01  1.62E-01  3.92E-13  6.85E-05  9.40E-08  1.41E-09
5.596E+04  1157.3  2.49E+08  2.37E-06  4.63E-04  3.42E-04  1.55E-07  8.37E-01  1.62E-01  2.78E-13  6.85E-05  8.37E-08  1.15E-09
4.523E+04  1140.2  2.53E+08  2.20E-06  4.63E-04  3.42E-04  1.64E-07  8.37E-01  1.62E-01  1.96E-13  6.85E-05  7.38E-08  9.36E-10
3.656E+04  1127.3  2.57E+08  1.89E-06  4.63E-04  3.42E-04  1.70E-07  8.37E-01  1.62E-01  1.36E-13  6.85E-05  6.38E-08  7.63E-10
2.955E+04  1116.7  2.61E+08  1.56E-06  4.63E-04  3.41E-04  1.76E-07  8.37E-01  1.62E-01  9.36E-14  6.85E-05  5.46E-08  6.21E-10
2.389E+04  1107.0  2.65E+08  1.26E-06  4.64E-04  3.41E-04  1.82E-07  8.37E-01  1.62E-01  6.41E-14  6.85E-05  4.65E-08  5.05E-10
1.931E+04  1096.9  2.69E+08  1.03E-06  4.64E-04  3.41E-04  1.88E-07  8.37E-01  1.62E-01  4.40E-14  6.85E-05  3.97E-08  4.11E-10
1.561E+04  1086.5  2.73E+08  8.56E-07  4.64E-04  3.41E-04  1.95E-07  8.37E-01  1.62E-01  3.03E-14  6.85E-05  3.41E-08  3.34E-10
1.261E+04  1076.4  2.77E+08  7.06E-07  4.64E-04  3.41E-04  2.02E-07  8.37E-01  1.62E-01  2.08E-14  6.85E-05  2.91E-08  2.71E-10
1.020E+04  1066.9  2.80E+08  5.79E-07  4.64E-04  3.40E-04  2.09E-07  8.37E-01  1.62E-01  1.43E-14  6.85E-05  2.49E-08  2.21E-10
8.241E+03  1059.2  2.84E+08  4.55E-07  4.64E-04  3.40E-04  2.15E-07  8.37E-01  1.62E-01  9.70E-15  6.85E-05  2.11E-08  1.79E-10
6.661E+03  1053.0  2.88E+08  3.46E-07  4.64E-04  3.40E-04  2.20E-07  8.37E-01  1.62E-01  6.55E-15  6.85E-05  1.77E-08  1.45E-10
5.384E+03  1048.1  2.92E+08  2.55E-07  4.65E-04  3.40E-04  2.24E-07  8.37E-01  1.62E-01  4.39E-15  6.86E-05  1.47E-08  1.18E-10
4.352E+03  1044.3  2.95E+08  1.83E-07  4.65E-04  3.40E-04  2.27E-07  8.37E-01  1.62E-01  2.93E-15  6.86E-05  1.22E-08  9.54E-11
3.517E+03  1041.7  2.99E+08  1.28E-07  4.65E-04  3.40E-04  2.29E-07  8.37E-01  1.62E-01  1.94E-15  6.86E-05  9.99E-09  7.72E-11
2.843E+03  1039.6  3.03E+08  8.78E-08  4.65E-04  3.40E-04  2.31E-07  8.37E-01  1.62E-01  1.28E-15  6.86E-05  8.18E-09  6.25E-11
2.298E+03  1037.7  3.06E+08  6.02E-08  4.65E-04  3.40E-04  2.33E-07  8.37E-01  1.62E-01  8.46E-16  6.86E-05  6.69E-09  5.06E-11
1.857E+03  1035.0  3.10E+08  4.21E-08  4.65E-04  3.40E-04  2.35E-07  8.37E-01  1.62E-01  5.60E-16  6.86E-05  5.50E-09  4.09E-11
1.501E+03  1032.5  3.13E+08  2.93E-08  4.65E-04  3.40E-04  2.37E-07  8.37E-01  1.62E-01  3.71E-16  6.86E-05  4.51E-09  3.31E-11
1.213E+03  1030.1  3.17E+08  2.03E-08  4.65E-04  3.40E-04  2.39E-07  8.37E-01  1.62E-01  2.45E-16  6.86E-05  3.70E-09  2.68E-11
