(dyn/cm2)      (K)     (cm)
Pressure     Temp    Hight       CH4        CO       H2O       CO2        H2        He      C2H2        N2       NH3       HCN
2.607E+06  1544.0  1.62E+08  1.77E-05  4.46E-04  3.58E-04  6.89E-08  8.37E-01  1.62E-01  2.66E-10  6.18E-05  1.28E-05  6.09E-07
2.199E+06  1532.2  1.66E+08  1.58E-05  4.48E-04  3.56E-04  7.01E-08  8.37E-01  1.62E-01  2.34E-10  6.19E-05  1.27E-05  5.97E-07
1.855E+06  1519.5  1.71E+08  1.46E-05  4.50E-04  3.55E-04  7.15E-08  8.37E-01  1.62E-01  2.14E-10  6.19E-05  1.27E-05  5.85E-07
1.565E+06  1505.9  1.75E+08  1.38E-05  4.50E-04  3.54E-04  7.30E-08  8.37E-01  1.62E-01  2.01E-10  6.19E-05  1.27E-05  5.74E-07
1.321E+06  1492.4  1.79E+08  1.32E-05  4.51E-04  3.54E-04  7.46E-08  8.37E-01  1.62E-01  1.95E-10  6.19E-05  1.27E-05  5.65E-07
1.114E+06  1477.9  1.83E+08  1.29E-05  4.51E-04  3.53E-04  7.63E-08  8.37E-01  1.62E-01  1.90E-10  6.19E-05  1.27E-05  5.58E-07
9.401E+05  1463.6  1.87E+08  1.27E-05  4.51E-04  3.53E-04  7.82E-08  8.37E-01  1.62E-01  1.88E-10  6.19E-05  1.27E-05  5.53E-07
7.931E+05  1449.3  1.91E+08  1.26E-05  4.52E-04  3.53E-04  8.02E-08  8.37E-01  1.62E-01  1.87E-10  6.19E-05  1.27E-05  5.50E-07
6.691E+05  1433.2  1.96E+08  1.26E-05  4.52E-04  3.53E-04  8.25E-08  8.37E-01  1.62E-01  1.78E-10  6.19E-05  1.27E-05  5.50E-07
5.645E+05  1416.2  2.00E+08  1.25E-05  4.52E-04  3.53E-04  8.51E-08  8.37E-01  1.62E-01  1.66E-10  6.19E-05  1.27E-05  5.51E-07
4.763E+05  1397.8  2.04E+08  1.25E-05  4.52E-04  3.53E-04  8.81E-08  8.37E-01  1.62E-01  1.48E-10  6.19E-05  1.27E-05  5.53E-07
4.018E+05  1379.2  2.07E+08  1.25E-05  4.52E-04  3.53E-04  9.13E-08  8.37E-01  1.62E-01  1.30E-10  6.19E-05  1.27E-05  5.56E-07
3.390E+05  1359.6  2.11E+08  1.25E-05  4.52E-04  3.53E-04  9.50E-08  8.37E-01  1.62E-01  1.10E-10  6.19E-05  1.27E-05  5.60E-07
2.860E+05  1339.5  2.15E+08  1.25E-05  4.52E-04  3.53E-04  9.90E-08  8.37E-01  1.62E-01  9.00E-11  6.19E-05  1.27E-05  5.65E-07
2.413E+05  1319.3  2.19E+08  1.25E-05  4.52E-04  3.53E-04  1.03E-07  8.37E-01  1.62E-01  7.24E-11  6.19E-05  1.27E-05  5.70E-07
2.036E+05  1299.0  2.23E+08  1.25E-05  4.52E-04  3.53E-04  1.08E-07  8.37E-01  1.62E-01  5.72E-11  6.19E-05  1.27E-05  5.76E-07
1.718E+05  1278.5  2.26E+08  1.25E-05  4.52E-04  3.53E-04  1.13E-07  8.37E-01  1.62E-01  4.42E-11  6.19E-05  1.27E-05  5.83E-07
1.449E+05  1258.2  2.30E+08  1.24E-05  4.52E-04  3.53E-04  1.19E-07  8.37E-01  1.62E-01  3.37E-11  6.19E-05  1.27E-05  5.90E-07
1.222E+05  1238.0  2.33E+08  1.24E-05  4.52E-04  3.53E-04  1.25E-07  8.37E-01  1.62E-01  2.53E-11  6.19E-05  1.26E-05  5.97E-07
1.031E+05  1218.2  2.37E+08  1.24E-05  4.52E-04  3.53E-04  1.32E-07  8.37E-01  1.62E-01  1.91E-11  6.19E-05  1.26E-05  6.06E-07
8.702E+04  1199.9  2.40E+08  1.24E-05  4.52E-04  3.53E-04  1.38E-07  8.37E-01  1.62E-01  1.49E-11  6.19E-05  1.26E-05  6.16E-07
7.341E+04  1183.0  2.44E+08  1.24E-05  4.52E-04  3.53E-04  1.45E-07  8.37E-01  1.62E-01  1.23E-11  6.19E-05  1.26E-05  6.26E-07
6.194E+04  1166.0  2.47E+08  1.24E-05  4.52E-04  3.53E-04  1.52E-07  8.37E-01  1.62E-01  1.09E-11  6.19E-05  1.26E-05  6.38E-07
