(dyn/cm2)      (K)     (cm)
Pressure     Temp    Hight       CH4        CO       H2O       CO2        H2        He      C2H2        N2       NH3       HCN
2.145E+08  1623.8  1.35E+08  4.39E-04  1.24E-05  7.97E-04  3.84E-09  8.36E-01  1.62E-01  1.61E-10  4.46E-05  4.74E-05  2.95E-08
2.039E+08  1611.3  1.39E+08  4.40E-04  1.16E-05  7.98E-04  3.65E-09  8.36E-01  1.62E-01  1.30E-10  4.47E-05  4.71E-05  2.61E-08
1.920E+08  1597.4  1.42E+08  4.40E-04  1.12E-05  7.98E-04  3.61E-09  8.36E-01  1.62E-01  1.12E-10  4.51E-05  4.63E-05  2.40E-08
1.769E+08  1582.1  1.45E+08  4.39E-04  1.21E-05  7.97E-04  3.95E-09  8.36E-01  1.62E-01  1.13E-10  4.62E-05  4.41E-05  2.43E-08
1.630E+08  1571.7  1.48E+08  4.38E-04  1.31E-05  7.96E-04  4.31E-09  8.36E-01  1.62E-01  1.14E-10  4.74E-05  4.19E-05  2.45E-08
1.502E+08  1563.8  1.52E+08  4.37E-04  1.42E-05  7.95E-04  4.71E-09  8.36E-01  1.62E-01  1.16E-10  4.84E-05  3.97E-05  2.48E-08
1.384E+08  1559.8  1.55E+08  4.36E-04  1.54E-05  7.94E-04  5.14E-09  8.36E-01  1.62E-01  1.17E-10  4.95E-05  3.77E-05  2.49E-08
1.272E+08  1556.1  1.58E+08  4.35E-04  1.67E-05  7.93E-04  5.64E-09  8.36E-01  1.62E-01  1.19E-10  5.05E-05  3.56E-05  2.53E-08
1.159E+08  1552.2  1.61E+08  4.32E-04  1.90E-05  7.91E-04  6.42E-09  8.36E-01  1.62E-01  1.28E-10  5.17E-05  3.32E-05  2.65E-08
1.056E+08  1547.5  1.64E+08  4.30E-04  2.14E-05  7.88E-04  7.29E-09  8.36E-01  1.62E-01  1.38E-10  5.28E-05  3.10E-05  2.76E-08
9.620E+07  1541.9  1.68E+08  4.27E-04  2.42E-05  7.85E-04  8.27E-09  8.36E-01  1.62E-01  1.48E-10  5.39E-05  2.88E-05  2.88E-08
8.764E+07  1537.0  1.71E+08  4.24E-04  2.74E-05  7.82E-04  9.36E-09  8.36E-01  1.62E-01  1.58E-10  5.49E-05  2.68E-05  2.99E-08
7.988E+07  1532.8  1.74E+08  4.21E-04  3.10E-05  7.78E-04  1.06E-08  8.36E-01  1.62E-01  1.72E-10  5.59E-05  2.49E-05  3.13E-08
7.251E+07  1529.5  1.77E+08  4.16E-04  3.57E-05  7.74E-04  1.22E-08  8.36E-01  1.62E-01  1.90E-10  5.68E-05  2.30E-05  3.32E-08
6.582E+07  1526.8  1.80E+08  4.11E-04  4.10E-05  7.68E-04  1.40E-08  8.36E-01  1.62E-01  2.10E-10  5.77E-05  2.12E-05  3.51E-08
5.975E+07  1523.8  1.83E+08  4.05E-04  4.70E-05  7.62E-04  1.60E-08  8.36E-01  1.62E-01  2.31E-10  5.86E-05  1.95E-05  3.70E-08
5.421E+07  1521.1  1.86E+08  3.98E-04  5.37E-05  7.56E-04  1.82E-08  8.36E-01  1.62E-01  2.54E-10  5.94E-05  1.79E-05  3.89E-08
4.875E+07  1518.4  1.89E+08  3.88E-04  6.42E-05  7.45E-04  2.14E-08  8.36E-01  1.62E-01  2.99E-10  6.02E-05  1.62E-05  4.28E-08
4.383E+07  1518.0  1.92E+08  3.76E-04  7.60E-05  7.33E-04  2.50E-08  8.36E-01  1.62E-01  3.48E-10  6.10E-05  1.47E-05  4.68E-08
3.941E+07  1518.8  1.96E+08  3.63E-04  8.95E-05  7.20E-04  2.88E-08  8.36E-01  1.62E-01  4.03E-10  6.17E-05  1.33E-05  5.08E-08
