T(K)   P(dyne/cm2)          H         H2          C          N         C2          O        H2O         OH         CO        CO2        CH4       C2H2        NH3         N2        HCN         Fe        Fe+
4840.0  4.912E+01   9.216E-01   1.455E-06   2.479E-04   6.230E-05   3.243E-12   4.512E-04   2.704E-15   1.393E-09   1.263E-07   2.456E-17   7.189E-30   5.779E-23   5.543E-24   3.779E-10   1.679E-16   4.395E-08   2.906E-05
4840.1  4.274E+01   9.216E-01   1.266E-06   2.479E-04   6.230E-05   2.821E-12   4.513E-04   2.046E-15   1.211E-09   1.099E-07   1.858E-17   4.091E-30   3.804E-23   3.649E-24   3.287E-10   1.270E-16   4.048E-08   2.906E-05
4840.1  3.719E+01   9.216E-01   1.102E-06   2.479E-04   6.230E-05   2.455E-12   4.513E-04   1.549E-15   1.054E-09   9.562E-08   1.407E-17   2.329E-30   2.507E-23   2.404E-24   2.860E-10   9.619E-17   3.731E-08   2.907E-05
4840.2  3.236E+01   9.216E-01   9.583E-07   2.480E-04   6.230E-05   2.136E-12   4.513E-04   1.172E-15   9.171E-10   8.316E-08   1.065E-17   1.324E-30   1.650E-23   1.583E-24   2.487E-10   7.278E-17   3.442E-08   2.907E-05
4840.3  2.816E+01   9.216E-01   8.337E-07   2.480E-04   6.230E-05   1.858E-12   4.513E-04   8.874E-16   7.979E-10   7.233E-08   8.056E-18   7.526E-31   1.087E-23   1.042E-24   2.164E-10   5.508E-17   3.177E-08   2.907E-05
4840.4  2.451E+01   9.216E-01   7.255E-07   2.480E-04   6.230E-05   1.617E-12   4.513E-04   6.719E-16   6.943E-10   6.292E-08   6.098E-18   4.279E-31   7.159E-24   6.869E-25   1.882E-10   4.170E-17   2.934E-08   2.907E-05
4840.5  2.132E+01   9.216E-01   6.309E-07   2.480E-04   6.230E-05   1.406E-12   4.513E-04   5.081E-16   6.038E-10   5.471E-08   4.611E-18   2.426E-31   4.708E-24   4.518E-25   1.636E-10   3.153E-17   2.711E-08   2.907E-05
4840.5  1.855E+01   9.216E-01   5.489E-07   2.480E-04   6.230E-05   1.223E-12   4.513E-04   3.847E-16   5.254E-10   4.760E-08   3.491E-18   1.377E-31   3.101E-24   2.976E-25   1.424E-10   2.387E-17   2.507E-08   2.907E-05
4840.6  1.615E+01   9.216E-01   4.778E-07   2.480E-04   6.231E-05   1.065E-12   4.513E-04   2.914E-16   4.573E-10   4.142E-08   2.644E-18   7.823E-32   2.045E-24   1.963E-25   1.239E-10   1.808E-17   2.320E-08   2.908E-05
4840.7  1.405E+01   9.216E-01   4.156E-07   2.480E-04   6.231E-05   9.261E-13   4.513E-04   2.205E-16   3.978E-10   3.601E-08   1.999E-18   4.429E-32   1.345E-24   1.291E-25   1.077E-10   1.368E-17   2.147E-08   2.908E-05
4840.7  1.222E+01   9.216E-01   3.614E-07   2.480E-04   6.231E-05   8.055E-13   4.513E-04   1.668E-16   3.459E-10   3.132E-08   1.512E-18   2.505E-32   8.852E-25   8.496E-26   9.370E-11   1.035E-17   1.987E-08   2.908E-05
4840.8  1.064E+01   9.216E-01   3.146E-07   2.480E-04   6.231E-05   7.012E-13   4.513E-04   1.264E-16   3.012E-10   2.726E-08   1.146E-18   1.421E-32   5.838E-25   5.605E-26   8.154E-11   7.839E-18   1.841E-08   2.908E-05
4840.8  9.256E+00   9.216E-01   2.737E-07   2.480E-04   6.231E-05   6.100E-13   4.513E-04   9.564E-17   2.620E-10   2.371E-08   8.671E-19   8.033E-33   3.844E-25   3.690E-26   7.094E-11   5.932E-18   1.706E-08   2.908E-05
4840.8  8.055E+00   9.216E-01   2.382E-07   2.480E-04   6.231E-05   5.308E-13   4.513E-04   7.243E-17   2.280E-10   2.064E-08   6.567E-19   4.544E-33   2.533E-25   2.432E-26   6.173E-11   4.493E-18   1.582E-08   2.908E-05
4840.9  7.009E+00   9.216E-01   2.072E-07   2.480E-04   6.231E-05   4.618E-13   4.513E-04   5.481E-17   1.983E-10   1.795E-08   4.968E-19   2.565E-33   1.668E-25   1.601E-26   5.369E-11   3.399E-18   1.467E-08   2.908E-05
4840.9  6.099E+00   9.216E-01   1.803E-07   2.480E-04   6.231E-05   4.018E-13   4.513E-04   4.150E-17   1.726E-10   1.562E-08   3.762E-19   1.448E-33   1.099E-25   1.055E-26   4.672E-11   2.574E-18   1.361E-08   2.908E-05
4840.9  5.307E+00   9.216E-01   1.569E-07   2.480E-04   6.231E-05   3.497E-13   4.513E-04   3.143E-17   1.502E-10   1.359E-08   2.848E-19   8.166E-34   7.239E-26   6.951E-27   4.065E-11   1.949E-18   1.263E-08   2.908E-05
4840.9  4.618E+00   9.216E-01   1.365E-07   2.480E-04   6.231E-05   3.043E-13   4.513E-04   2.380E-17   1.307E-10   1.183E-08   2.157E-19   4.602E-34   4.770E-26   4.580E-27   3.537E-11   1.476E-18   1.172E-08   2.907E-05
4840.9  4.018E+00   9.216E-01   1.188E-07   2.480E-04   6.231E-05   2.647E-13   4.514E-04   1.801E-17   1.137E-10   1.029E-08   1.633E-19   2.590E-34   3.142E-26   3.017E-27   3.078E-11   1.117E-18   1.088E-08   2.907E-05
4840.9  3.496E+00   9.216E-01   1.034E-07   2.480E-04   6.231E-05   2.303E-13   4.514E-04   1.364E-17   9.893E-11   8.953E-09   1.236E-19   1.456E-34   2.070E-26   1.987E-27   2.678E-11   8.457E-19   1.010E-08   2.907E-05
4840.9  3.042E+00   9.216E-01   8.993E-08   2.480E-04   6.231E-05   2.004E-13   4.514E-04   1.033E-17   8.608E-11   7.790E-09   9.359E-20   8.178E-35   1.363E-26   1.309E-27   2.330E-11   6.404E-19   9.385E-09   2.907E-05
4841.0  2.647E+00   9.216E-01   7.824E-08   2.480E-04   6.231E-05   1.744E-13   4.514E-04   7.814E-18   7.489E-11   6.775E-09   7.080E-20   4.585E-35   8.976E-27   8.619E-28   2.027E-11   4.845E-19   8.718E-09   2.907E-05
4841.0  2.304E+00   9.216E-01   6.810E-08   2.480E-04   6.231E-05   1.518E-13   4.514E-04   5.920E-18   6.518E-11   5.897E-09   5.364E-20   2.573E-35   5.919E-27   5.684E-28   1.764E-11   3.671E-19   8.101E-09   2.907E-05
4841.0  2.005E+00   9.216E-01   5.926E-08   2.480E-04   6.231E-05   1.321E-13   4.514E-04   4.483E-18   5.672E-11   5.132E-09   4.062E-20   1.441E-35   3.901E-27   3.746E-28   1.535E-11   2.780E-19   7.529E-09   2.907E-05
4841.0  1.744E+00   9.216E-01   5.155E-08   2.480E-04   6.231E-05   1.149E-13   4.514E-04   3.392E-18   4.934E-11   4.464E-09   3.074E-20   8.048E-36   2.567E-27   2.465E-28   1.335E-11   2.103E-19   6.997E-09   2.906E-05
4841.0  1.518E+00   9.216E-01   4.487E-08   2.480E-04   6.231E-05   9.999E-14   4.514E-04   2.570E-18   4.295E-11   3.885E-09   2.329E-20   4.501E-36   1.693E-27   1.626E-28   1.162E-11   1.594E-19   6.505E-09   2.906E-05
4841.0  1.321E+00   9.216E-01   3.904E-08   2.480E-04   6.231E-05   8.701E-14   4.514E-04   1.946E-18   3.737E-11   3.381E-09   1.763E-20   2.512E-36   1.116E-27   1.071E-28   1.011E-11   1.207E-19   6.048E-09   2.906E-05
4841.0  1.149E+00   9.216E-01   3.396E-08   2.480E-04   6.231E-05   7.568E-14   4.514E-04   1.472E-18   3.251E-11   2.941E-09   1.334E-20   1.397E-36   7.341E-28   7.050E-29   8.797E-12   9.130E-20   5.623E-09   2.906E-05
4841.0  1.000E+00   9.216E-01   2.956E-08   2.480E-04   6.231E-05   6.587E-14   4.514E-04   1.115E-18   2.829E-11   2.559E-09   1.011E-20   7.783E-37   4.840E-28   4.647E-29   7.656E-12   6.915E-20   5.229E-09   2.905E-05
