# WL(nm)	 Flux(ergs/cm**2/s/nm)
122.7892    	1.20E+05
122.7904    	1.84E+05
122.7916    	2.38E+05
122.7928    	1.69E+05
122.794     	4.41E+04
122.7952    	5.32E+04
122.7964    	8.83E+04
122.7976    	2.58E+05
122.7988    	2.30E+05
122.8       	1.13E+05
122.8012    	7.08E+04
122.8024    	2.19E+04
122.8036    	6.92E+04
122.8048    	1.28E+05
122.806     	1.23E+05
122.8072    	4.01E+04
122.8084    	2.85E+04
122.8096    	6.41E+04
122.8108    	2.17E+05
122.812     	3.34E+05
122.8132    	1.66E+05
122.8144    	1.87E+05
122.8156    	1.50E+05
122.8168    	2.10E+05
122.818     	3.59E+05
122.8192    	1.57E+05
122.8204    	4.37E+04
122.8216    	2.57E+04
122.8228    	8.62E+04
122.824     	5.44E+04
122.8252    	4.36E+03
122.8264    	4.95E+04
122.8276    	7.25E+04
122.8288    	4.96E+04
122.83      	1.08E+05
122.8312    	2.05E+05
122.8324    	4.37E+04
122.836     	1.76E+04
122.8372    	1.62E+05
122.8384    	6.58E+04
122.8396    	6.57E+04
122.8408    	2.72E+04
122.8432    	8.32E+04
122.8444    	2.03E+05
122.8456    	1.03E+05
122.8468    	1.42E+05
122.848     	2.84E+05
122.8492    	2.24E+05
122.8504    	9.88E+04
122.8516    	7.81E+04
122.8528    	7.08E+03
122.8552    	3.93E+04
122.8564    	1.21E+05
122.8576    	8.15E+04
122.8612    	2.49E+04
122.8624    	6.19E+04
122.8636    	8.26E+04
122.8648    	2.92E+04
122.8672    	1.23E+05
122.8684    	2.63E+05
122.8696    	3.15E+05
122.8708    	1.64E+05
122.872     	3.67E+02
122.8732    	1.80E+04
122.8744    	4.53E+04
122.8756    	7.23E+04
122.8768    	1.46E+05
122.878     	2.67E+04
122.8792    	1.45E+05
122.8804    	2.34E+04
122.8816    	7.16E+04
122.8828    	2.16E+05
122.884     	1.12E+05
122.8852    	1.92E+04
122.8864    	1.66E+05
122.8876    	1.25E+05
122.8888    	1.59E+05
122.89      	1.78E+04
122.8912    	3.42E+05
122.8924    	2.12E+05
122.8936    	9.37E+04
122.8948    	3.48E+04
122.896     	7.79E+04
122.8972    	1.38E+05
122.8984    	4.21E+04
122.8996    	9.60E+04
122.9008    	7.64E+04
122.902     	7.61E+03
122.9056    	5.06E+04
122.9068    	1.77E+05
122.908     	1.61E+05
122.9092    	1.76E+05
122.9104    	1.17E+05
122.9128    	6.36E+04
122.914     	5.58E+04
122.9152    	9.73E+04
122.9164    	1.21E+05
122.9176    	1.40E+05
122.9188    	1.18E+05
122.92      	2.04E+05
122.9212    	2.27E+05
122.9224    	1.02E+05
122.9236    	5.51E+04
122.9248    	1.30E+05
122.926     	1.80E+05
122.9272    	1.30E+05
122.9284    	1.55E+05
122.9296    	1.68E+05
122.9332    	8.56E+04
122.9344    	2.01E+05
122.9356    	9.96E+04
122.9404    	1.14E+05
122.9416    	5.51E+04
122.9452    	1.17E+05
122.9464    	9.32E+04
122.9488    	8.40E+04
122.95      	2.04E+05
122.9512    	2.42E+05
122.9524    	1.82E+04
122.9536    	7.25E+04
122.9548    	2.34E+05
122.956     	2.84E+05
122.9572    	2.32E+05
122.9584    	1.89E+04
122.9596    	7.03E+04
122.9608    	4.61E+04
122.962     	1.95E+03
122.9632    	7.84E+02
122.9644    	7.08E+04
122.9656    	7.24E+04
122.9668    	1.37E+05
122.968     	1.88E+05
122.9692    	1.96E+05
122.9704    	1.51E+05
122.9716    	1.41E+05
122.9728    	1.71E+05
122.974     	5.71E+04
122.9776    	1.49E+05
122.9788    	2.07E+05
122.98      	7.42E+04
122.9812    	2.27E+05
122.9824    	1.03E+05
122.9848    	8.41E+03
122.986     	7.18E+04
122.9872    	6.28E+04
122.9884    	6.18E+04
122.9896    	5.92E+04
122.9908    	6.74E+04
122.992     	8.69E+04
122.9932    	7.01E+04
122.9944    	2.04E+05
122.9956    	2.37E+05
122.9968    	1.43E+05
122.998     	1.54E+05
122.9992    	1.47E+05
123.0004    	5.40E+04
123.0016    	4.95E+04
123.0028    	1.62E+05
123.004     	1.84E+05
123.0052    	1.25E+05
123.0088    	4.86E+04
123.01      	1.87E+05
123.0112    	1.36E+05
123.0124    	8.71E+04
123.0136    	7.27E+04
123.0148    	5.73E+04
123.0184    	8.60E+03
123.0208    	1.27E+05
123.022     	5.86E+04
123.0232    	4.94E+04
123.0244    	1.37E+05
123.0256    	1.65E+05
123.0268    	1.10E+05
123.028     	1.02E+05
123.0292    	9.00E+04
123.0304    	7.52E+04
123.0316    	4.30E+04
123.0328    	1.67E+04
123.034     	8.56E+04
123.0352    	4.32E+04
123.0376    	2.36E+04
123.0388    	4.10E+04
123.04      	2.62E+04
123.0412    	7.14E+04
123.0424    	1.45E+05
123.0436    	1.22E+05
123.0448    	2.43E+05
123.0496    	7.49E+04
123.0532    	1.19E+04
123.0544    	7.52E+04
123.0556    	1.89E+05
123.0568    	2.12E+05
123.0592    	6.60E+04
123.0616    	8.83E+04
123.064     	7.34E+04
123.0652    	2.44E+04
123.0664    	4.68E+04
123.0676    	7.11E+04
123.07      	1.21E+04
123.0712    	2.24E+05
123.0724    	2.03E+05
123.0736    	7.76E+04
123.0748    	3.14E+04
123.0784    	7.78E+03
123.0796    	1.85E+04
123.0808    	1.58E+04
123.0844    	5.18E+04
123.0856    	4.58E+04
123.0868    	2.73E+04
123.088     	7.00E+04
123.0892    	6.63E+04
123.0904    	6.92E+04
123.0916    	1.34E+05
123.0928    	4.79E+04
123.094     	3.46E+04
123.0952    	7.27E+04
123.0964    	1.18E+05
123.0976    	2.14E+05
123.0988    	1.59E+05
123.1       	3.77E+04
123.1012    	2.92E+04
123.1024    	2.19E+05
123.1036    	1.28E+05
123.1048    	1.13E+05
123.106     	5.90E+04
123.1096    	1.24E+04
123.1108    	4.18E+04
123.112     	5.68E+04
123.1132    	8.41E+04
123.1144    	4.94E+04
123.1168    	4.95E+04
123.118     	1.19E+04
123.1204    	4.37E+04
123.1216    	1.84E+05
123.1228    	1.36E+05
123.124     	3.97E+04
123.1264    	3.10E+04
123.1276    	5.96E+04
123.1288    	1.57E+05
123.1312    	4.80E+04
123.1324    	3.42E+04
123.1336    	8.87E+03
123.1348    	7.14E+04
123.136     	1.18E+05
123.1372    	8.84E+04
123.1384    	6.03E+04
123.1408    	4.73E+04
123.142     	1.45E+05
123.1432    	1.41E+05
123.1456    	1.60E+04
123.1468    	7.48E+04
123.148     	1.34E+05
123.1492    	1.49E+05
123.1504    	1.27E+05
123.1516    	2.66E+05
123.1528    	1.73E+05
123.154     	2.56E+04
123.1552    	1.00E+05
123.1564    	6.30E+04
123.1576    	1.06E+05
123.1588    	6.12E+04
123.16      	8.19E+02
123.1612    	9.74E+03
123.1624    	1.29E+03
123.1636    	5.35E+04
123.1648    	7.52E+04
123.1672    	9.32E+04
123.1684    	1.01E+04
123.1696    	1.57E+05
123.172     	6.97E+03
123.1732    	4.09E+04
123.1744    	7.13E+04
123.1756    	1.32E+05
123.1768    	1.35E+05
123.178     	1.19E+05
123.1792    	1.85E+05
123.1816    	1.50E+04
123.1828    	7.56E+04
123.184     	1.41E+05
123.1852    	8.15E+04
123.1876    	7.78E+04
123.1888    	1.70E+05
123.19      	9.90E+04
123.1912    	7.24E+04
123.1924    	1.00E+05
123.1936    	7.07E+03
123.196     	6.87E+04
123.1972    	3.41E+04
123.1984    	1.18E+05
123.1996    	1.16E+05
123.2008    	8.57E+04
123.202     	7.35E+04
123.2032    	5.99E+04
123.2044    	9.14E+04
123.2056    	1.20E+05
123.2068    	1.54E+05
123.208     	1.17E+05
123.2092    	1.23E+05
123.2104    	1.55E+05
123.2128    	3.43E+04
123.214     	3.17E+04
123.2152    	9.55E+04
123.2164    	9.34E+04
123.2176    	4.43E+04
123.2188    	6.95E+04
123.22      	1.38E+05
123.2212    	2.38E+05
123.2224    	1.29E+05
123.2272    	7.06E+04
123.2284    	6.02E+04
123.2296    	3.36E+04
123.2308    	6.17E+04
123.232     	1.15E+05
123.2332    	9.20E+04
123.2344    	9.23E+03
123.2356    	5.20E+04
123.2368    	4.26E+04
123.2392    	4.60E+04
123.2404    	2.31E+04
123.2416    	3.46E+04
123.2428    	5.52E+04
123.244     	5.57E+04
123.2476    	3.81E+04
123.2488    	6.00E+04
123.25      	7.80E+04
123.2512    	1.92E+05
123.2524    	9.44E+04
123.2536    	3.31E+04
123.2548    	2.65E+04
123.256     	6.33E+04
123.2572    	1.65E+05
123.2584    	1.68E+05
123.2596    	1.97E+04
123.262     	4.95E+03
123.2632    	7.00E+04
123.2644    	6.31E+04
123.2656    	1.23E+05
123.2668    	9.72E+04
123.268     	1.72E+05
123.2692    	9.84E+04
123.2704    	9.93E+04
123.2716    	1.31E+05
123.2728    	1.45E+05
123.274     	1.41E+05
123.2752    	5.64E+04
123.2776    	8.96E+04
123.2788    	8.49E+04
123.28      	1.61E+05
123.2812    	1.24E+05
123.2824    	8.49E+04
123.286     	4.61E+04
123.2872    	9.74E+04
123.2884    	1.01E+05
123.2896    	2.00E+05
123.2908    	2.92E+05
123.292     	1.14E+05
123.2932    	3.75E+04
123.2944    	2.69E+04
123.2956    	1.35E+05
123.2968    	7.77E+04
123.298     	7.39E+03
123.3016    	8.21E+04
123.3028    	9.84E+04
123.304     	8.03E+04
123.3052    	1.06E+05
123.3064    	1.17E+05
123.3076    	1.22E+05
123.3088    	1.34E+05
123.31      	1.40E+05
123.3112    	1.28E+05
123.3124    	1.13E+05
123.3136    	1.24E+05
123.3148    	1.52E+05
123.316     	1.38E+05
123.3172    	4.86E+04
123.3196    	1.18E+05
123.3244    	1.14E+05
123.3256    	1.51E+05
123.3268    	9.35E+04
123.328     	7.95E+04
123.3292    	1.05E+05
123.3304    	5.24E+04
123.3316    	5.92E+03
123.334     	8.73E+04
123.3352    	1.83E+05
123.3364    	1.73E+05
123.3376    	1.09E+05
123.3388    	8.37E+04
123.34      	7.01E+04
123.3412    	9.13E+04
123.3424    	1.11E+05
123.3436    	7.20E+04
123.3448    	5.77E+04
123.346     	4.62E+04
123.3472    	1.73E+05
123.3484    	1.96E+04
123.3496    	7.92E+04
123.3508    	1.04E+05
123.352     	1.02E+05
123.3532    	9.95E+04
123.3544    	4.37E+04
123.3556    	3.44E+04
123.3568    	1.07E+05
123.358     	8.46E+04
123.3592    	1.30E+04
123.3604    	1.34E+05
123.3616    	1.73E+05
123.3628    	1.37E+05
123.3664    	8.44E+04
123.3676    	5.28E+04
123.37      	1.36E+04
123.3712    	8.74E+04
123.3724    	4.87E+04
123.3748    	9.11E+04
123.376     	1.41E+05
123.3772    	1.71E+05
123.3796    	6.88E+03
123.382     	3.05E+04
123.3832    	7.98E+04
123.3844    	7.83E+04
123.3856    	2.21E+03
123.3868    	1.43E+04
123.388     	1.07E+05
123.3892    	7.31E+04
123.3904    	3.76E+03
123.3928    	6.85E+04
123.394     	8.90E+04
123.3952    	3.82E+04
123.3964    	2.07E+04
123.3976    	1.40E+04
123.3988    	9.01E+04
123.4       	1.41E+05
123.4012    	7.11E+04
123.4024    	2.54E+04
123.406     	6.06E+04
123.4072    	1.02E+05
123.4084    	1.72E+05
123.4096    	8.77E+04
123.4108    	6.96E+04
123.412     	7.99E+04
123.4132    	7.47E+04
123.4144    	3.04E+04
123.4168    	1.51E+05
123.418     	1.92E+05
123.4192    	8.40E+04
123.4204    	8.97E+04
123.4216    	1.06E+05
123.4228    	2.13E+05
123.424     	1.55E+05
123.4252    	1.43E+05
123.4264    	1.94E+05
123.4276    	1.34E+05
123.4288    	3.46E+04
123.43      	9.14E+04
123.4312    	6.60E+04
123.4324    	1.10E+05
123.4336    	2.93E+04
123.4348    	9.60E+04
123.436     	6.43E+04
123.4372    	2.58E+04
123.4408    	2.90E+04
123.442     	1.01E+05
123.4432    	8.92E+04
123.4444    	5.25E+04
123.4456    	5.43E+04
123.4468    	6.73E+04
123.448     	2.06E+05
123.4492    	1.14E+05
123.4504    	7.44E+04
123.4516    	1.30E+05
123.4528    	1.29E+05
123.454     	1.83E+04
123.4552    	3.33E+04
123.4564    	8.83E+04
123.4576    	1.19E+05
123.4588    	1.31E+05
123.46      	1.05E+05
123.4612    	2.81E+04
123.4624    	1.41E+05
123.4636    	1.64E+05
123.4672    	9.14E+04
123.4684    	1.26E+05
123.4696    	4.29E+04
123.4708    	2.74E+04
123.472     	9.86E+04
123.4732    	1.26E+05
123.4744    	1.16E+05
123.4768    	4.02E+04
123.4792    	2.25E+04
123.4816    	6.68E+04
123.4828    	1.25E+05
123.484     	8.27E+04
123.4852    	6.84E+04
123.4864    	1.04E+05
123.4876    	4.83E+03
123.4888    	2.05E+04
123.49      	8.73E+04
123.4912    	6.18E+04
123.4924    	7.79E+04
123.496     	6.98E+02
123.4996    	3.20E+04
123.5008    	1.29E+05
123.502     	1.52E+05
123.5032    	7.60E+04
123.5044    	1.68E+04
123.5056    	5.12E+04
123.5068    	1.24E+05
123.508     	1.08E+05
123.5092    	4.05E+04
123.5104    	8.66E+04
123.5116    	1.14E+05
123.5128    	5.56E+04
123.514     	6.36E+03
123.5152    	1.82E+04
123.5164    	1.59E+05
123.5176    	1.50E+05
123.5188    	6.25E+04
123.52      	1.62E+05
123.5212    	3.64E+04
123.5224    	1.83E+04
123.5236    	7.85E+04
123.5248    	1.38E+05
123.526     	1.32E+05
123.5272    	4.78E+04
123.5284    	7.98E+04
123.5296    	2.20E+05
123.5308    	6.21E+04
123.5332    	2.18E+04
123.5344    	2.17E+04
123.5356    	6.44E+04
123.538     	5.04E+04
123.5392    	1.23E+04
123.5452    	1.47E+05
123.5464    	1.22E+05
123.5476    	3.10E+04
123.5512    	3.30E+04
123.5524    	8.86E+04
123.5536    	1.88E+05
123.5548    	1.54E+05
123.556     	1.14E+05
123.5572    	1.33E+05
123.5584    	1.34E+05
123.5596    	1.22E+05
123.5608    	1.64E+04
123.562     	7.77E+04
123.5632    	1.23E+05
123.5644    	3.30E+04
123.5656    	2.80E+04
123.5668    	1.04E+05
123.568     	4.16E+04
123.5692    	1.53E+04
123.5704    	6.05E+04
123.5716    	8.94E+04
123.5728    	5.32E+04
123.5776    	1.06E+05
123.5788    	1.78E+05
123.58      	1.47E+05
123.5812    	1.37E+05
123.5824    	1.70E+05
123.5836    	1.29E+05
123.5848    	9.12E+04
123.586     	1.41E+05
123.5872    	1.03E+05
123.5908    	7.83E+04
123.5932    	6.24E+04
123.5944    	1.09E+04
123.5956    	1.29E+05
123.5968    	8.49E+04
123.598     	4.45E+04
123.5992    	6.80E+04
123.6004    	4.51E+04
123.6016    	1.80E+04
123.6028    	1.08E+05
123.604     	1.47E+05
123.6052    	1.03E+05
123.6064    	4.99E+04
123.6076    	6.02E+04
123.6088    	7.58E+04
123.61      	1.06E+05
123.6112    	1.13E+05
123.6124    	1.54E+05
123.6136    	1.63E+05
123.6148    	8.26E+04
123.616     	8.37E+04
123.6172    	6.75E+04
123.6184    	8.68E+04
123.6196    	3.60E+04
123.6232    	5.06E+04
123.6244    	4.82E+04
123.6256    	7.98E+04
123.6268    	9.41E+04
123.628     	1.27E+05
123.6292    	1.07E+05
123.6304    	2.58E+04
123.6316    	1.86E+04
123.6328    	3.70E+04
123.634     	1.48E+05
123.6352    	1.10E+05
123.6364    	1.41E+05
123.6376    	1.40E+05
123.6388    	2.55E+04
123.64      	8.56E+04
123.6412    	1.09E+05
123.6424    	4.79E+04
123.6436    	5.45E+04
123.6448    	6.50E+04
123.646     	7.98E+03
123.6472    	2.83E+04
123.6484    	8.92E+04
123.6496    	1.08E+05
123.6508    	1.13E+05
123.652     	9.13E+04
123.6532    	9.78E+04
123.6544    	3.95E+03
123.658     	3.81E+04
123.6592    	7.88E+04
123.6604    	8.77E+04
123.6616    	1.15E+04
123.6628    	5.89E+04
123.664     	6.35E+03
123.6688    	1.36E+04
123.67      	1.20E+05
123.6712    	1.11E+05
123.6724    	7.00E+04
123.6736    	1.86E+04
123.6772    	5.22E+04
123.6784    	1.12E+05
123.682     	5.00E+04
123.6832    	4.93E+04
123.6844    	7.65E+03
123.6856    	3.34E+04
123.6868    	5.31E+04
123.688     	2.67E+04
123.6892    	4.50E+04
123.6904    	8.36E+04
123.6916    	7.28E+04
123.6928    	8.98E+04
123.694     	1.44E+05
123.6952    	7.78E+04
123.6964    	7.80E+04
123.6976    	2.32E+04
123.6988    	6.14E+04
123.7       	8.47E+04
123.7012    	7.23E+04
123.7024    	3.03E+02
123.7048    	4.87E+03
123.706     	2.00E+04
123.7084    	1.94E+04
123.7096    	2.34E+03
123.7108    	1.46E+05
123.712     	1.74E+05
123.7132    	1.69E+05
123.7144    	8.29E+04
123.7156    	4.02E+04
123.7168    	7.02E+04
123.718     	8.58E+04
123.7192    	7.69E+04
123.7204    	9.93E+04
123.7216    	4.54E+04
123.7228    	8.74E+04
123.7252    	1.05E+04
123.7264    	4.19E+04
123.7276    	3.10E+04
123.7288    	4.41E+04
123.73      	4.11E+04
123.7312    	2.54E+04
123.7324    	1.23E+04
123.7336    	4.18E+04
123.7348    	9.98E+04
123.736     	8.57E+04
123.7372    	1.51E+05
123.7384    	7.88E+04
123.7408    	3.79E+04
123.7456    	4.66E+03
123.7468    	5.19E+04
123.748     	1.17E+05
123.7492    	4.87E+04
123.7504    	4.73E+04
123.7528    	2.34E+04
123.754     	9.80E+04
123.7552    	8.72E+04
123.7564    	1.36E+04
123.7576    	2.77E+04
123.7588    	4.22E+04
123.76      	1.05E+05
123.7612    	1.36E+05
123.7624    	1.02E+05
123.7636    	3.45E+04
123.7648    	1.08E+04
123.7684    	7.18E+04
123.7696    	6.60E+04
123.7708    	7.54E+04
123.772     	2.88E+04
123.7732    	6.62E+04
123.7744    	2.58E+04
123.7756    	6.16E+03
123.7768    	4.66E+04
123.778     	9.76E+04
123.7792    	1.02E+05
123.7804    	4.10E+04
123.7816    	1.59E+04
123.7828    	2.34E+04
123.7852    	1.32E+04
123.7864    	1.14E+05
123.7876    	5.88E+04
123.7888    	3.57E+04
123.79      	3.08E+04
123.7912    	7.24E+04
123.7924    	1.19E+05
123.7936    	3.94E+04
123.796     	9.88E+04
123.7972    	6.92E+04
123.7996    	1.05E+05
123.8008    	4.33E+04
123.8032    	3.86E+04
123.8044    	8.54E+04
123.8056    	8.67E+04
123.8068    	6.90E+04
123.808     	1.28E+04
123.8092    	1.10E+03
123.8104    	8.36E+04
123.8116    	3.69E+04
123.8128    	7.76E+03
123.814     	1.28E+05
123.8152    	5.77E+04
123.8164    	7.79E+04
123.8176    	1.02E+04
123.82      	5.04E+04
123.8212    	7.42E+04
123.8224    	7.02E+04
123.8236    	7.88E+04
123.8272    	8.74E+04
123.8284    	2.14E+05
123.8296    	7.85E+04
123.8308    	1.23E+05
123.832     	1.24E+05
123.8332    	7.15E+04
123.8344    	9.32E+04
123.8356    	9.14E+04
123.8368    	9.45E+04
123.838     	1.27E+05
123.8392    	9.98E+04
123.8404    	3.24E+04
123.8416    	1.32E+04
123.8428    	1.27E+05
123.844     	1.48E+05
123.8452    	1.18E+05
123.8464    	2.35E+05
123.8476    	2.89E+05
123.8488    	1.49E+05
123.85      	8.35E+04
123.8512    	1.28E+05
123.8524    	1.58E+05
123.8536    	1.65E+05
123.8548    	1.71E+05
123.856     	2.00E+05
123.8572    	8.55E+04
123.8584    	6.57E+04
123.8596    	9.95E+04
123.8608    	2.19E+05
123.862     	1.78E+05
123.8632    	1.56E+05
123.8644    	1.59E+05
123.8656    	1.76E+05
123.8668    	2.18E+05
123.868     	3.34E+05
123.8692    	4.89E+05
123.8704    	4.54E+05
123.8716    	5.00E+05
123.8728    	5.78E+05
123.874     	9.09E+05
123.8752    	1.05E+06
123.8764    	1.39E+06
123.8776    	1.60E+06
123.8788    	1.91E+06
123.88      	2.54E+06
123.8812    	3.03E+06
123.8824    	3.39E+06
123.8836    	4.02E+06
123.8848    	4.81E+06
123.886     	5.37E+06
123.8872    	5.76E+06
123.8884    	5.62E+06
123.8896    	5.28E+06
123.8908    	5.46E+06
123.892     	4.95E+06
123.8932    	4.61E+06
123.8944    	4.22E+06
123.8956    	3.72E+06
123.8968    	3.13E+06
123.898     	2.63E+06
123.8992    	2.20E+06
123.9004    	1.79E+06
123.9016    	1.59E+06
123.9028    	1.34E+06
123.904     	9.47E+05
123.9052    	7.54E+05
123.9064    	7.64E+05
123.9076    	5.79E+05
123.9088    	5.27E+05
123.91      	4.39E+05
123.9112    	3.48E+05
123.9124    	3.76E+05
123.9136    	4.31E+05
123.9148    	2.96E+05
123.916     	3.28E+05
123.9172    	2.81E+05
123.9184    	2.04E+05
123.9196    	1.86E+05
123.9208    	3.15E+04
123.922     	8.00E+04
123.9232    	9.83E+04
123.9244    	8.29E+04
123.9256    	1.10E+05
123.9268    	1.93E+05
123.928     	1.28E+05
123.9292    	2.08E+05
123.9304    	1.31E+05
123.9316    	9.54E+04
123.9328    	1.12E+05
123.9376    	3.99E+04
123.9388    	3.67E+04
123.94      	1.19E+05
123.9412    	9.38E+04
123.9424    	5.13E+04
123.9448    	2.84E+03
123.9508    	3.48E+04
123.952     	5.73E+04
123.9532    	5.51E+04
123.9544    	1.02E+05
123.9556    	1.10E+05
123.9568    	3.54E+04
123.958     	2.98E+04
123.9592    	4.03E+04
123.9604    	7.11E+04
123.9616    	5.58E+04
123.9628    	8.88E+04
123.964     	8.59E+04
123.9652    	3.44E+04
123.9664    	1.70E+05
123.9676    	2.02E+05
123.9688    	1.18E+05
123.97      	3.81E+04
123.9724    	1.78E+04
123.976     	3.64E+04
123.9796    	5.01E+04
123.9856    	1.21E+04
123.9868    	3.00E+04
123.988     	1.27E+05
123.9892    	2.14E+04
123.9904    	6.86E+03
123.9916    	6.75E+03
123.9928    	6.01E+04
123.994     	2.90E+04
123.9952    	2.47E+04
124.0       	3.41E+04
124.0012    	3.11E+04
124.0024    	8.39E+04
124.006     	2.56E+04
124.0072    	5.65E+04
124.0084    	1.82E+04
124.012     	3.26E+04
124.0132    	3.01E+04
124.0144    	1.24E+04
124.0156    	1.24E+04
124.018     	6.65E+04
124.0192    	1.00E+05
124.0204    	1.12E+05
124.0216    	1.28E+05
124.0228    	1.29E+05
124.024     	6.41E+04
124.0252    	3.43E+04
124.0288    	4.17E+04
124.03      	9.02E+04
124.0312    	5.25E+04
124.0324    	4.13E+04
124.0336    	8.75E+03
124.036     	4.54E+04
124.0372    	3.24E+04
124.0384    	5.51E+04
124.0408    	2.87E+04
124.0444    	4.31E+04
124.0456    	1.10E+05
124.0468    	8.24E+04
124.048     	7.16E+04
124.0492    	1.67E+05
124.0504    	2.01E+05
124.0516    	1.25E+04
124.0528    	1.04E+05
124.054     	1.01E+05
124.0552    	5.70E+04
124.0564    	1.83E+04
124.0576    	3.52E+03
124.06      	3.51E+04
124.0612    	8.58E+04
124.0648    	4.06E+04
124.066     	3.92E+04
124.0672    	1.22E+05
124.0684    	1.41E+05
124.0696    	1.24E+05
124.0708    	9.09E+04
124.072     	1.53E+04
124.0744    	1.48E+04
124.0756    	1.26E+05
124.0768    	8.01E+04
124.078     	1.78E+05
124.0792    	6.61E+04
124.0804    	7.45E+03
124.0816    	7.96E+03
124.0828    	3.94E+04
124.084     	8.87E+03
124.0852    	1.57E+04
124.0864    	1.34E+04
124.0888    	5.02E+04
124.09      	9.91E+04
124.0912    	1.07E+05
124.0924    	4.36E+03
124.0936    	3.05E+04
124.0948    	4.85E+04
124.096     	1.92E+04
124.0972    	8.89E+04
124.0984    	3.25E+04
124.0996    	2.00E+04
124.1008    	3.69E+04
124.102     	9.58E+04
124.1032    	2.09E+04
124.1044    	1.64E+04
124.1056    	4.25E+04
124.1068    	4.34E+04
124.1104    	8.66E+04
124.1116    	1.92E+04
124.114     	9.32E+03
124.1152    	1.01E+05
124.1164    	6.65E+04
124.1176    	4.66E+04
124.1188    	5.18E+04
124.12      	2.43E+03
124.1212    	3.58E+02
124.126     	7.22E+04
124.1272    	4.58E+04
124.1308    	7.02E+04
124.132     	9.90E+04
124.1332    	3.43E+04
124.1344    	6.26E+04
124.1356    	2.56E+04
124.1368    	9.10E+04
124.138     	1.41E+05
124.1392    	3.93E+04
124.1452    	1.79E+04
124.1464    	3.20E+04
124.1476    	1.68E+04
124.1488    	3.90E+04
124.15      	1.21E+05
124.1512    	3.16E+04
124.1584    	1.73E+04
124.1596    	7.93E+03
124.1632    	1.68E+04
124.1644    	4.19E+04
124.1668    	3.90E+04
124.168     	7.84E+04
124.1692    	7.45E+04
124.1704    	2.73E+04
124.1716    	2.59E+04
124.1728    	7.17E+04
124.174     	1.42E+04
124.1764    	3.19E+04
124.1788    	3.07E+04
124.18      	1.06E+04
124.1824    	2.27E+04
124.1836    	2.16E+04
124.1848    	3.12E+04
124.186     	9.60E+04
124.1872    	1.29E+05
124.1884    	1.26E+05
124.1908    	6.69E+04
124.192     	1.67E+05
124.1932    	2.48E+05
124.1944    	3.08E+05
124.1956    	2.50E+05
124.1968    	1.75E+05
124.198     	2.49E+05
124.1992    	4.99E+05
124.2004    	4.37E+05
124.2016    	4.59E+05
124.2028    	5.31E+05
124.204     	5.23E+05
124.2052    	5.00E+05
124.2064    	4.28E+05
124.2076    	3.79E+05
124.2088    	3.43E+05
124.21      	3.36E+05
124.2112    	4.08E+05
124.2124    	3.57E+05
124.2136    	3.93E+05
124.2148    	1.89E+05
124.216     	2.45E+05
124.2172    	1.80E+05
124.2184    	1.55E+05
124.2196    	1.66E+05
124.2208    	9.25E+04
124.222     	1.64E+05
124.2232    	1.51E+05
124.2244    	1.66E+05
124.2256    	1.65E+05
124.2268    	6.56E+04
124.228     	8.37E+04
124.2292    	7.73E+04
124.2304    	6.23E+04
124.2316    	6.71E+04
124.2328    	6.05E+04
124.234     	2.05E+04
124.2352    	1.16E+05
124.2364    	2.28E+04
124.2376    	4.68E+04
124.2388    	1.29E+04
124.24      	1.13E+05
124.2412    	8.15E+04
124.2424    	4.45E+04
124.2436    	8.17E+04
124.2448    	9.79E+04
124.246     	3.25E+04
124.2472    	2.28E+04
124.2484    	3.57E+03
124.2496    	5.92E+04
124.2508    	8.86E+04
124.252     	8.62E+04
124.2532    	1.23E+05
124.2544    	8.69E+04
124.2556    	2.42E+05
124.2568    	2.57E+05
124.258     	1.03E+05
124.2592    	9.44E+04
124.2604    	1.22E+05
124.2616    	8.73E+04
124.2628    	1.45E+05
124.264     	1.84E+05
124.2652    	1.51E+05
124.2664    	4.11E+04
124.2676    	1.17E+05
124.2688    	1.35E+05
124.27      	1.57E+05
124.2712    	2.55E+05
124.2724    	2.83E+05
124.2736    	5.18E+05
124.2748    	5.16E+05
124.276     	6.97E+05
124.2772    	8.84E+05
124.2784    	1.21E+06
124.2796    	1.23E+06
124.2808    	1.58E+06
124.282     	1.95E+06
124.2832    	2.04E+06
124.2844    	2.35E+06
124.2856    	2.68E+06
124.2868    	2.63E+06
124.288     	2.72E+06
124.2892    	3.05E+06
124.2904    	2.80E+06
124.2916    	2.65E+06
124.2928    	2.65E+06
124.294     	2.29E+06
124.2952    	1.58E+06
124.2964    	1.24E+06
124.2976    	1.08E+06
124.2988    	8.49E+05
124.3       	8.04E+05
124.3012    	6.11E+05
124.3024    	5.49E+05
124.3036    	5.69E+05
124.3048    	4.85E+05
124.306     	3.06E+05
124.3072    	2.41E+05
124.3084    	2.83E+05
124.3096    	2.40E+05
124.3108    	1.88E+05
124.312     	2.27E+05
124.3132    	1.96E+05
124.3144    	1.82E+05
124.3156    	8.85E+04
124.3168    	1.39E+05
124.318     	1.40E+05
124.3192    	1.37E+05
124.3204    	1.73E+05
124.3216    	1.97E+05
124.3228    	2.19E+05
124.324     	2.77E+05
124.3252    	2.52E+05
124.3264    	2.47E+05
124.3276    	1.50E+05
124.3288    	1.38E+05
124.33      	8.55E+04
