# WL(nm)	 Flux(ergs/cm**2/s/nm)
115.4044    	7.43E+03
115.4056    	4.73E+04
115.4116    	1.15E+05
115.4128    	8.94E+04
115.414     	1.39E+05
115.4152    	1.90E+05
115.4176    	3.04E+05
115.4188    	3.47E+05
115.4272    	1.30E+05
115.4284    	4.42E+05
115.4344    	3.72E+05
115.4404    	1.00E+05
115.4416    	1.46E+05
115.4428    	2.13E+05
115.444     	4.49E+05
115.4452    	3.33E+05
115.4464    	7.78E+02
115.4524    	1.84E+05
115.4608    	1.14E+05
115.4632    	5.97E+04
115.468     	6.32E+05
115.4692    	2.02E+04
115.4704    	4.19E+05
115.4716    	4.20E+05
115.4728    	2.07E+05
115.4788    	9.91E+04
115.48      	2.63E+05
115.4812    	6.35E+05
115.4824    	6.68E+04
115.4872    	3.71E+05
115.4884    	7.08E+05
115.4896    	5.45E+05
115.4908    	2.86E+05
115.5028    	3.63E+04
115.504     	1.45E+05
115.51      	2.15E+05
115.5124    	1.28E+04
115.5136    	3.40E+05
115.5148    	3.40E+05
115.516     	2.32E+05
115.5196    	4.44E+04
115.5208    	1.21E+06
115.522     	2.01E+05
115.5244    	1.57E+05
115.5256    	1.96E+05
115.5304    	5.26E+04
115.534     	1.55E+05
115.5352    	4.75E+05
115.5364    	5.31E+05
115.5496    	5.17E+04
115.5508    	2.65E+05
115.5532    	2.87E+04
115.5544    	2.83E+04
115.558     	3.65E+05
115.5592    	5.07E+05
115.5604    	6.17E+04
115.5628    	5.12E+05
115.564     	7.70E+05
115.5652    	4.61E+04
115.5676    	3.47E+05
115.5724    	3.99E+05
115.5736    	6.67E+04
115.5748    	7.55E+04
115.576     	6.26E+05
115.5772    	5.12E+05
115.5784    	2.66E+04
115.5832    	3.25E+05
115.588     	1.06E+05
115.5892    	2.54E+05
115.5904    	2.27E+05
115.5916    	2.81E+05
115.5928    	3.14E+04
115.5964    	7.97E+04
115.6024    	5.77E+05
115.6036    	6.85E+05
115.6084    	3.52E+05
115.6096    	4.36E+05
115.6108    	3.75E+05
115.6132    	7.89E+04
115.6192    	2.83E+05
115.6228    	1.14E+05
115.624     	6.62E+04
115.6252    	2.25E+05
115.6264    	6.77E+05
115.6276    	6.38E+05
115.636     	1.16E+05
115.6372    	1.58E+05
115.6384    	1.78E+05
115.6408    	4.96E+04
115.642     	7.27E+05
115.6432    	4.88E+05
115.648     	1.16E+05
115.6492    	3.47E+05
115.6516    	1.45E+04
115.6528    	2.72E+05
115.654     	3.28E+05
115.6552    	5.61E+05
115.6564    	2.49E+05
115.66      	1.93E+05
115.6612    	2.79E+05
115.6624    	2.03E+05
115.6636    	5.87E+05
115.666     	1.33E+04
115.6672    	5.46E+05
115.6684    	7.50E+05
115.6708    	3.26E+05
115.672     	4.61E+05
115.6732    	1.10E+03
115.6744    	4.91E+05
115.6756    	4.14E+05
115.678     	4.56E+05
115.6804    	1.51E+05
115.6816    	3.60E+05
115.6828    	1.92E+05
115.684     	2.24E+05
115.6852    	2.15E+05
115.6864    	1.58E+05
115.6888    	2.84E+05
115.69      	4.09E+05
115.6912    	9.83E+04
115.6924    	1.55E+04
115.6972    	6.00E+02
115.7092    	8.19E+04
115.7104    	2.84E+05
115.7116    	1.89E+05
115.7128    	1.43E+05
115.726     	2.67E+05
115.7272    	1.81E+05
115.7284    	4.11E+05
115.7296    	5.77E+05
115.7308    	7.14E+05
115.7356    	4.51E+04
115.7368    	1.86E+03
115.738     	4.92E+05
115.7392    	6.46E+05
115.7404    	2.12E+05
115.7428    	5.63E+05
115.744     	3.26E+05
115.7452    	5.17E+05
115.7464    	4.91E+05
115.7476    	4.48E+05
115.7488    	1.85E+05
115.7548    	1.89E+05
115.756     	3.05E+05
115.7572    	2.14E+04
115.7584    	5.31E+04
115.7644    	5.75E+05
115.7656    	1.17E+05
115.768     	1.19E+05
115.7692    	1.78E+05
115.7704    	1.20E+05
115.774     	3.04E+05
115.7752    	4.43E+05
115.7764    	8.17E+04
115.7776    	5.13E+05
115.7788    	4.32E+05
115.7812    	1.87E+04
115.7848    	9.45E+05
115.786     	5.03E+05
115.7872    	3.94E+05
115.7884    	3.40E+05
115.7896    	2.23E+04
115.7908    	2.60E+05
115.7932    	1.25E+05
115.7956    	2.22E+05
115.7968    	3.59E+05
115.798     	2.10E+05
115.8016    	6.41E+04
115.8028    	3.26E+04
115.8052    	3.30E+05
115.8064    	4.80E+05
115.8076    	5.30E+05
115.8088    	8.45E+05
115.81      	5.83E+05
115.8112    	1.19E+05
115.8124    	2.67E+05
115.8136    	6.96E+05
115.8148    	4.32E+05
115.816     	1.76E+05
115.8172    	4.33E+04
115.8244    	5.11E+05
115.8256    	1.96E+05
115.828     	1.12E+05
115.8316    	3.37E+05
115.8328    	4.66E+05
115.834     	1.69E+05
115.8376    	8.45E+04
115.8388    	1.49E+05
115.8424    	9.47E+04
115.8436    	6.79E+04
115.8448    	8.02E+05
115.846     	5.16E+05
115.8472    	1.14E+05
115.852     	3.12E+05
115.8532    	3.34E+05
115.8544    	5.57E+04
115.8556    	6.35E+05
115.8568    	6.29E+05
115.858     	1.80E+05
115.8592    	1.92E+05
115.8604    	5.67E+04
115.8616    	3.33E+05
115.8628    	7.54E+05
115.864     	1.50E+05
115.8676    	1.09E+05
115.8688    	3.27E+05
115.87      	1.87E+05
115.8736    	1.36E+05
115.876     	2.96E+04
115.8772    	2.76E+05
