P               	T               	m               	C               	H               	He              	N               	O               	P               	S               	Si              	Ti              	V               	CH              	HCN             	HNCO            	HCO             	CH2             	H2CO            	CH3             	CH4             	CN              	NCO             	CN2_cnn         	CN2_ncn         	CO              	CO2             	C2              	C2H             	C2H2            	C2H3            	C2H4            	C2H5            	C2H6            	C2H4O           	CH2OH           	CH3O            	CH3OH           	CH3CO           	H2CCO           	HCCO            	C2N             	C2N2            	CCO             	C3              	C3O2            	C4              	C4H2            	C4N2            	NH              	HNO             	HNO2            	HNO3            	OH              	HO2             	H2              	NH2             	N2H2            	H2O             	NH3             	N2H4            	NO              	NO2             	NO3             	N2              	N2O             	N2O3            	N2O4            	N2O5            	O2              	O3              	N2H             	N2H3            	CH3NH2          	CH3NH           	CH2NH           	CH2NH2          	H2CN            	C3H2            	C3H4            	CH2CCH2         	C3H5            	C3H7            	C3H8            	C4H             	C4H2            	C4H3            	C4H4            	C4H5            	C4H6            	C4H8            	C4H9            	C4H10           	CH2CN           	CH3CN           	CH3NO           	C3H3            	C3H6            	C2H3O           	CH3CHO          	C2H4OH          	H2O2            	HC3N            	C2H2CN          	C2H3CN          	H2NN            	TiO             	TiO2            	VO              
3.0130000000e+00	1.5522000000e+03	2.3596366425e+00	1.5038097895e-19	1.7038821689e-05	1.6236123475e-01	1.0488209878e-15	4.2191516556e-15	1.6752604877e-72	2.2084234268e-05	1.6752604877e-72	2.6513755386e-10	3.5149192700e-09	1.1100175481e-17	5.0245908711e-08	6.2832951473e-12	2.9818528776e-11	1.4294098905e-13	4.9925624875e-10	6.8262204377e-09	1.6342406101e-05	6.0407751346e-15	3.5480817639e-17	1.3704831712e-26	1.7960994639e-22	4.4856281982e-04	6.8060191871e-08	6.4936125981e-24	1.0413393391e-17	1.9894490091e-10	7.8508956602e-15	8.7276534633e-11	5.6531816702e-15	1.3119513933e-12	2.8077450623e-20	5.8029939872e-15	2.8562792127e-16	9.3107054017e-13	1.3333824131e-16	8.9421535837e-13	4.0684629930e-17	4.5099687481e-24	7.8727393618e-18	1.1705268623e-17	3.1001753677e-25	7.5047832880e-20	1.8252244206e-33	1.8072446080e-20	6.4844094921e-28	8.0843262898e-14	1.3768141315e-17	7.9738110628e-24	1.9130552987e-35	2.8773134968e-10	2.0283599743e-21	8.3723100884e-01	5.7523277421e-11	1.3257164540e-17	3.5646551267e-04	1.0184681470e-06	2.4540644689e-19	2.8892803035e-14	4.6021068128e-25	1.0675282481e-39	6.8022696916e-05	2.8222158980e-20	1.3042666680e-43	1.0481782948e-55	3.1679854469e-67	8.2811120087e-19	6.1236568778e-36	4.3493762583e-15	2.0411055180e-20	4.8168181158e-15	2.7694840633e-18	3.8747868098e-22	8.8852232323e-17	5.8319130550e-14	1.3800416942e-20	3.1225445483e-16	1.1198002438e-16	2.5265615870e-18	1.2191696065e-21	2.9683378964e-19	5.2190889203e-28	7.3543243889e-21	1.3161469261e-25	7.6516598168e-21	2.8418540745e-24	3.5849600191e-21	6.4302424717e-24	2.5738767004e-29	6.8186775300e-26	1.8570354658e-15	1.2870017051e-13	4.5191978072e-16	1.1223918561e-17	9.0091247442e-17	1.3959178218e-23	2.7278461887e-15	1.9158066749e-21	1.5812501586e-19	9.0855471585e-19	9.1066129338e-24	4.1411449147e-19	1.2727533030e-20	1.2845313492e-07	2.0589475653e-08	1.0743859980e-08
2.3890000000e+00	1.5380000000e+03	2.3596375287e+00	1.0110035109e-19	1.6289764653e-05	1.6236129558e-01	8.3693165151e-16	3.6666098011e-15	1.6752611154e-72	2.2084242542e-05	1.6752611154e-72	2.3432886265e-10	3.3108445657e-09	7.2627418640e-18	4.0829267314e-08	5.0547020326e-12	2.4054609894e-11	9.6854531916e-14	4.0076157628e-10	4.9169359685e-09	1.2316552114e-05	4.4313450655e-15	2.6711237420e-17	7.7478610466e-27	1.1169830465e-22	4.5259917931e-04	6.9358268966e-08	3.5939597864e-24	6.2070285556e-18	1.3474689212e-10	4.5267083175e-15	5.3580838211e-11	2.9538053399e-15	7.0711125537e-13	1.5339812350e-20	3.8870116631e-15	1.8625034652e-16	6.3621829906e-13	7.9045368363e-17	6.1168423395e-13	2.6508553542e-17	2.4636581555e-24	5.0058734541e-18	7.6441094519e-18	1.5297901804e-25	4.8902709861e-20	6.9564229672e-34	8.2768584023e-21	2.7937685561e-28	6.2668246745e-14	1.0609393099e-17	5.7618738109e-24	1.1856585650e-35	2.6036427030e-10	1.5474933734e-21	8.3724406313e-01	4.4942286357e-11	9.0733261632e-18	3.5242565331e-04	8.4130687651e-07	1.4521034809e-19	2.5136723402e-14	3.4465862210e-25	6.4087500601e-40	6.8116018513e-05	2.1963128081e-20	6.8823878340e-44	4.8054275242e-56	1.1979067491e-67	7.1349420614e-19	3.9310326044e-36	3.2455757759e-15	1.2352200322e-20	2.7727928410e-15	1.5483632197e-18	2.1201033099e-22	5.0721154896e-17	3.9275461652e-14	6.9110223604e-21	1.5512210161e-16	5.5355468145e-17	1.1338447619e-18	4.5707526413e-22	1.1499516804e-19	2.1221890227e-28	3.3432309375e-21	5.0466639201e-26	3.1469229261e-21	1.0169742879e-24	1.3357699301e-21	2.0803651778e-24	6.9548204126e-30	1.8972777890e-26	1.0966765696e-15	7.7562132982e-14	3.0475972324e-16	5.5288318887e-18	4.0138885994e-17	7.3199668975e-24	1.6180004802e-15	9.1461249402e-22	1.1955635078e-19	4.9494469285e-19	4.2192375413e-24	2.0632673135e-19	8.1881142506e-21	1.2734211009e-07	2.1731365116e-08	1.0947940027e-08
1.8940000000e+00	1.5211000000e+03	2.3596390086e+00	6.1758048155e-20	1.5046883896e-05	1.6236139651e-01	6.2054178158e-16	2.9598699558e-15	1.6752621568e-72	2.2084256270e-05	1.6752621568e-72	2.0016915539e-10	3.0601165837e-09	4.4004589776e-18	3.2985196211e-08	4.0582200649e-12	1.8907005781e-11	6.2768560827e-14	3.2099182266e-10	3.5184223052e-09	9.5463605720e-06	3.0840798919e-15	1.9300809833e-17	4.0278146095e-27	6.5196294862e-23	4.5537741697e-04	7.1058334580e-08	1.8023040655e-24	3.4919165976e-18	9.0756579897e-11	2.5703439359e-15	3.3659869266e-11	1.5639641022e-15	3.9856856831e-13	8.4145223488e-21	2.5617775450e-15	1.1882211660e-16	4.4039925981e-13	4.6704295224e-17	4.1946750202e-13	1.6714996005e-17	1.2463040854e-24	3.1210359214e-18	4.7162754936e-18	6.9383079722e-26	3.1467932033e-20	2.3975126512e-34	3.7473022371e-21	1.1738081051e-28	4.5983928070e-14	7.7752705425e-18	3.9289913865e-24	6.7504175238e-36	2.2628992411e-10	1.0997746566e-21	8.3725375082e-01	3.4129502621e-11	6.0135336511e-18	3.4964290485e-04	7.0080283951e-07	8.4750771627e-20	2.0822866346e-14	2.3943023394e-25	3.4241132064e-40	6.8190241123e-05	1.6286153323e-20	3.2221368217e-44	1.9080528880e-56	3.7868411445e-68	5.7336915049e-19	2.2230351501e-36	2.3303665975e-15	7.2270552957e-21	1.6278003097e-15	8.5579134372e-19	1.1134687963e-22	2.8751750830e-17	2.5893806948e-14	3.3539443765e-21	7.8352140312e-17	2.7793098406e-17	5.1895668852e-19	1.7671497377e-22	4.7431039684e-20	8.1113936271e-29	1.5000417390e-21	1.8877247085e-26	1.3139212421e-21	3.6763206451e-25	5.1988844710e-22	7.1685262638e-25	1.9741274411e-30	5.7211350999e-27	6.4092936300e-16	4.7629155207e-14	2.0756344055e-16	2.6962289791e-18	1.8668146148e-17	3.7263532264e-24	9.8066791545e-16	4.3658768714e-22	8.6155534924e-20	2.6599215501e-19	1.9093772396e-24	1.0455178583e-19	5.0334777297e-21	1.2580279901e-07	2.3304928715e-08	1.1198676872e-08
1.5010000000e+00	1.5026000000e+03	2.3596407340e+00	3.5354225435e-20	1.3578994818e-05	1.6236151571e-01	4.3768446790e-16	2.2723979968e-15	1.6752633866e-72	2.2084272483e-05	1.6752633866e-72	1.6697970315e-10	2.7890185228e-09	2.5308061665e-18	2.6547039765e-08	3.2536526152e-12	1.4601122020e-11	3.9466877685e-14	2.5670594019e-10	2.5064097912e-09	7.5415115338e-06	2.0713147648e-15	1.3563090870e-17	1.9778600429e-27	3.6449804220e-23	4.5738819996e-04	7.3070498053e-08	8.4550314040e-25	1.8894035360e-18	6.0915948413e-11	1.4445681579e-15	2.1481259161e-11	8.3553826316e-16	2.3157962900e-13	4.6280349932e-21	1.6694910359e-15	7.4673982356e-17	3.0745769396e-13	2.7534293279e-17	2.8818758766e-13	1.0309504509e-17	5.9856945111e-25	1.9206761901e-18	2.8010324027e-18	2.9729736242e-26	2.0084982700e-20	7.7221842186e-35	1.6844941133e-21	4.8514547738e-29	3.2501012476e-14	5.5055901343e-18	2.5743735486e-24	3.6252909467e-36	1.9132782981e-10	7.4448616472e-22	8.3726129873e-01	2.5416879979e-11	3.8983690536e-18	3.4762647317e-04	5.8693123913e-07	4.8976799245e-20	1.6681248413e-14	1.5798104815e-25	1.6890214598e-40	6.8250451115e-05	1.1683348121e-20	1.3895748777e-44	6.8640955036e-57	1.0585622101e-68	4.3933663851e-19	1.1527131385e-36	1.6295862891e-15	4.1304949521e-21	9.6815980495e-16	4.6921513765e-19	5.6861590346e-23	1.6216695333e-17	1.6825906199e-14	1.5939598940e-21	4.0036552740e-17	1.4106991095e-17	2.4077413985e-19	6.9760973453e-23	2.0412724352e-20	2.9745714344e-29	6.6752369585e-22	6.9465342365e-27	5.5450620728e-22	1.3386013387e-25	2.0848302836e-22	2.5785028062e-25	5.7938855664e-31	1.8218734943e-27	3.7200105688e-16	2.9627185985e-14	1.4228595038e-16	1.3063764125e-18	8.9404413460e-18	1.8590510859e-24	6.0314230732e-16	2.0833558127e-22	6.0061828784e-20	1.4170548823e-19	8.5059962594e-25	5.3605147963e-20	2.9988699677e-21	1.2389851669e-07	2.5242510107e-08	1.1469785401e-08
1.1900000000e+00	1.4838000000e+03	2.3596424274e+00	1.9718175481e-20	1.2141512451e-05	1.6236163243e-01	3.0270114149e-16	1.7109828151e-15	1.6752645910e-72	2.2084288360e-05	1.6752645910e-72	1.3779049244e-10	2.5231653259e-09	1.4254887646e-18	2.1326459552e-08	2.6076536890e-12	1.1197805367e-11	2.4517068302e-14	2.0521327099e-10	1.7822329037e-09	6.0035509635e-06	1.3711028761e-15	9.4278680474e-18	9.4962853329e-28	2.0033286674e-23	4.5893035743e-04	7.5264437125e-08	3.8602393462e-25	1.0060592742e-18	4.0806157603e-11	8.0831751988e-16	1.3792100588e-11	4.4802360921e-16	1.3621700491e-13	2.5493892169e-21	1.0837411664e-15	4.6681330494e-17	2.1551939396e-13	1.6222312527e-17	1.9811752508e-13	6.3020104180e-18	2.8147308952e-25	1.1752396505e-18	1.6385161922e-18	1.2440383182e-26	1.2774358421e-20	2.4182879807e-35	7.5418890040e-22	1.9898861015e-29	2.2638817019e-14	3.8487759543e-18	1.6626587670e-24	1.9064839352e-36	1.6008424812e-10	4.9493492359e-22	8.3726738764e-01	1.8789544004e-11	2.5069915496e-18	3.4607808387e-04	4.9283767101e-07	2.8224808169e-20	1.3193727855e-14	1.0225573406e-25	8.0882083074e-41	6.8300161129e-05	8.2787388697e-21	5.8140385706e-45	2.3818003485e-57	2.8289283038e-69	3.3064283878e-19	5.7856002799e-37	1.1281283909e-15	2.3411459204e-21	5.7920712655e-16	2.5659144880e-19	2.8728751133e-23	9.1333513616e-18	1.0871223984e-14	7.5065506127e-22	2.0542419993e-17	7.1879620316e-18	1.1229454188e-19	2.7776237040e-23	8.9381187717e-21	1.0717583505e-29	2.9573810636e-22	2.5375418383e-27	2.3482898773e-22	4.8858776114e-26	8.4570233354e-23	9.4354172189e-26	1.7239815765e-31	5.9322643608e-28	2.1525333876e-16	1.8519937770e-14	9.7860659846e-17	6.3095900468e-19	4.3315503173e-18	9.2041047471e-25	3.7324252892e-16	9.9477167630e-23	4.1379575051e-20	7.5164614974e-20	3.7634273393e-25	2.7597074792e-20	1.7659608587e-21	1.2173944262e-07	2.7430880727e-08	1.1735648849e-08
9.4360000000e-01	1.4639000000e+03	2.3596441929e+00	1.0427661493e-20	1.0644359512e-05	1.6236175400e-01	2.0072707726e-16	1.2338789999e-15	1.6752658454e-72	2.2084304895e-05	1.6752658454e-72	1.1142212361e-10	2.2544688209e-09	7.6969812393e-19	1.7107429862e-08	2.0897869585e-12	8.4685474328e-12	1.4873862977e-14	1.6401429385e-10	1.2649615620e-09	4.8669457066e-06	8.8217471508e-16	6.4078055424e-18	4.3544243844e-28	1.0639089984e-23	4.6006962874e-04	7.7764173894e-08	1.6713803497e-25	5.2012992852e-19	2.7348574233e-11	4.5004930200e-16	9.0080683434e-12	2.4305339462e-16	8.2552502713e-14	1.4121933554e-21	6.9781737502e-16	2.8856628568e-17	1.5239492199e-13	9.5692502769e-18	1.3679046299e-13	3.7912467217e-18	1.2712628124e-25	7.1377891448e-19	9.3067442449e-19	4.9858709955e-27	8.0970625165e-21	7.2005786212e-36	3.3795105174e-22	8.1059235817e-30	1.5282214957e-14	2.6126216326e-18	1.0373086805e-24	9.5305737527e-37	1.3076962252e-10	3.1542358923e-22	8.3727230086e-01	1.3668273956e-11	1.5835645266e-18	3.4493160762e-04	4.1591914965e-07	1.6148684378e-20	1.0138028970e-14	6.3300348202e-26	3.6152076251e-41	6.8340784068e-05	5.7028127790e-21	2.2669344282e-45	7.5913861318e-58	6.8001107779e-70	2.3869449393e-19	2.6940814453e-37	7.6409179537e-16	1.3022088093e-21	3.5128778834e-16	1.3972494273e-19	1.4209315369e-23	5.1351791880e-18	6.9527635314e-15	3.4912889972e-22	1.0702862216e-17	3.7168604156e-18	5.3286747581e-20	1.1326541793e-23	4.0827564565e-21	3.7543862360e-30	1.3101358794e-22	9.2080777116e-28	1.0108247119e-22	1.8078474157e-26	3.5452300075e-23	3.6093178037e-26	5.3211368695e-32	2.0400705023e-28	1.2429201567e-16	1.1748652120e-14	6.7784734992e-17	3.0472319353e-19	2.1639897464e-18	4.4941910823e-25	2.3459726987e-16	4.7654911082e-23	2.7693405621e-20	3.9782422566e-20	1.6521221861e-25	1.4428660747e-20	1.0135674681e-21	1.1918701598e-07	3.0009787524e-08	1.2004356030e-08
7.4810000000e-01	1.4441000000e+03	2.3596457999e+00	5.4295894345e-21	9.2820828832e-06	1.6236186462e-01	1.3156289058e-16	8.7968878954e-16	1.6752669867e-72	2.2084319941e-05	1.6752669867e-72	8.9401549562e-11	2.0030638816e-09	4.1040860253e-19	1.3706130471e-08	1.6740366650e-12	6.3772315721e-12	8.9563110316e-15	1.3102439216e-10	8.9652046116e-10	3.9619930403e-06	5.6265303663e-16	4.3265538084e-18	1.9695189179e-28	5.5915534884e-24	4.6097605781e-04	8.0434365084e-08	7.1192597765e-26	2.6629446984e-19	1.8302759402e-11	2.4979479695e-16	5.9013265035e-12	1.3204268227e-16	5.0353868142e-14	7.8248004826e-22	4.4806199204e-16	1.7774818119e-17	1.0795879687e-13	5.6397986283e-18	9.4450728161e-14	2.2680952913e-18	5.6683962401e-26	4.3192680017e-19	5.2394624755e-19	1.9695479802e-27	5.1207001695e-21	2.1075354445e-36	1.5099781679e-22	3.2853462594e-30	1.0225535173e-14	1.7596770146e-18	6.4145938008e-25	4.7034198567e-37	1.0615815910e-10	1.9883107476e-22	8.3727637566e-01	9.8966348560e-12	9.9513917995e-19	3.4401733081e-04	3.5141667728e-07	9.2173392765e-21	7.7308326047e-15	3.8733983851e-26	1.5871973900e-41	6.8374784763e-05	3.8991030977e-21	8.6771196413e-46	2.3668809955e-58	1.5902895951e-70	1.7048827826e-19	1.2302102515e-37	5.1428598623e-16	7.2029856874e-22	2.1363219659e-16	7.5916617927e-20	6.9791835398e-24	2.8827772128e-18	4.4299009758e-15	1.6142066270e-22	5.5861659373e-18	1.9250711497e-18	2.5344079212e-20	4.6368587883e-24	1.8818510993e-21	1.3007959963e-30	5.7857342939e-23	3.3243328452e-28	4.3565560579e-23	6.6924299018e-27	1.4947237225e-23	1.3929628888e-26	1.6532791581e-32	7.0975731726e-29	7.1606062180e-17	7.4707535521e-15	4.7020636150e-17	1.4680391947e-19	1.0875248941e-18	2.1832137530e-25	1.4790102105e-16	2.2817673367e-23	1.8398637722e-20	2.0992839768e-20	7.2184159449e-26	7.5567005974e-21	5.7743406680e-22	1.1636916500e-07	3.2849760802e-08	1.2255770684e-08
5.9310000000e-01	1.4211000000e+03	2.3596476638e+00	2.4803504620e-21	7.7024372086e-06	1.6236199288e-01	7.7567439213e-17	5.6155614908e-16	1.6752683102e-72	2.2084337388e-05	1.6752683102e-72	6.8357889165e-11	1.7313389705e-09	1.9733266261e-19	1.0974604543e-08	1.3422817094e-12	4.6417708148e-12	5.0956669771e-15	1.0471971603e-10	6.3422504281e-10	3.3852073727e-06	3.3515510969e-16	2.7637971300e-18	7.9564674440e-29	2.7033885970e-24	4.6155288201e-04	8.3801149404e-08	2.6697252933e-26	1.2734113130e-19	1.2337858027e-11	1.3770692695e-16	4.0590345566e-12	7.4269812987e-17	3.3285270488e-14	4.4121554231e-22	2.8208937661e-16	1.0650364745e-17	7.8222377602e-14	3.3464439852e-18	6.6198391740e-14	1.3087715089e-18	2.2971865353e-26	2.5808525678e-19	2.7496384427e-19	7.0448431262e-28	3.2280382613e-21	5.4990082331e-37	6.8421553625e-23	1.3246390465e-30	6.3217424430e-15	1.0982912332e-18	3.6205380306e-25	2.0301794090e-37	8.0975015484e-11	1.1223312783e-22	8.3727964555e-01	6.8794213919e-12	5.9745809165e-19	3.4343048161e-04	3.0061936843e-07	5.1620889368e-21	5.4712238961e-15	2.1100021884e-26	5.8215311717e-42	6.8401605021e-05	2.4776893456e-21	2.7631129807e-46	5.9070541771e-59	2.8178251977e-71	1.0923471176e-19	4.6226710844e-38	3.2756051440e-16	3.7973576875e-22	1.3476904613e-16	4.0905146417e-20	3.2572068187e-24	1.6151785288e-18	2.7588179189e-15	7.2975577810e-23	3.0564135775e-18	1.0436490333e-18	1.2695626073e-20	2.0317850499e-24	9.7234234280e-22	4.2492644331e-31	2.5852901551e-23	1.1941042092e-28	1.9791038439e-23	2.5931985105e-27	6.9231544822e-24	6.0762688513e-27	5.6921712035e-33	2.8626764248e-29	4.1275691745e-17	4.9582779224e-15	3.3224663053e-17	7.1333326180e-20	5.9530302804e-19	1.0279115256e-25	9.7320127546e-17	1.1052112881e-23	1.1314898583e-20	1.1117237975e-20	3.1198238935e-26	4.1507929028e-21	3.0823379991e-22	1.1270251370e-07	3.6537573714e-08	1.2527506859e-08
4.7020000000e-01	1.3964000000e+03	2.3596494575e+00	1.0377499451e-21	6.1823826907e-06	1.6236211631e-01	4.2590067094e-17	3.3278767909e-16	1.6752695837e-72	2.2084354176e-05	1.6752695837e-72	5.0475297437e-11	1.4665201877e-09	8.8515765807e-20	8.7856578475e-09	1.0771313670e-12	3.3024352946e-12	2.7909343763e-15	8.3732908017e-11	4.4817385926e-10	2.9888320089e-06	1.9069204870e-16	1.7011952867e-18	2.9796555993e-29	1.2359399151e-24	4.6194807222e-04	8.7747797896e-08	9.1915640908e-27	5.8182720833e-20	8.3607995991e-12	7.5594101455e-17	2.8860507266e-12	4.2778930503e-17	2.3235747358e-14	2.5184466560e-22	1.7527584218e-16	6.2654051852e-18	5.7549807680e-14	1.9955318986e-18	4.6882663113e-14	7.3732845960e-19	8.7333145610e-27	1.5297605151e-19	1.3774346304e-19	2.3578750990e-28	2.0317293122e-21	1.3290213740e-37	3.1324673687e-23	5.3269919740e-31	3.7056686572e-15	6.5123994883e-19	1.9216917143e-25	8.0079250135e-38	5.9226348213e-11	5.8808489142e-23	8.3728230558e-01	4.6524701297e-12	3.4789064481e-19	3.4302333570e-04	2.5930811492e-07	2.8544357792e-21	3.6822283458e-15	1.0628477450e-26	1.8918773996e-42	6.8423408487e-05	1.4988497027e-21	7.7741543018e-47	1.2692916703e-59	4.1426038204e-72	6.5048620221e-20	1.5233752462e-38	2.0102088656e-16	1.9383121986e-22	8.7164340742e-17	2.1922457125e-20	1.4690440567e-24	9.0398056829e-19	1.6922324788e-15	3.2513310721e-23	1.7272902164e-18	5.8383269149e-19	6.5900961684e-21	9.3258928293e-25	5.4293096310e-22	1.3351950379e-31	1.1653628471e-23	4.2780698928e-29	9.3225522806e-24	1.0370907376e-27	3.4189163492e-24	2.8809781349e-27	2.1019961059e-33	1.2766650239e-29	2.3811154487e-17	3.3883981815e-15	2.3775368179e-17	3.4883284151e-20	3.4538324018e-19	4.7406616124e-26	6.5933689419e-17	5.3970430352e-24	6.6054134361e-21	5.9051932669e-21	1.3392999904e-26	2.3555756096e-21	1.5748438714e-22	1.0828441661e-07	4.0973666905e-08	1.2792336482e-08
3.7280000000e-01	1.3702000000e+03	2.3596510901e+00	3.9755300317e-22	4.7989234639e-06	1.6236222864e-01	2.1769178470e-17	1.8297580667e-16	1.6752707428e-72	2.2084369456e-05	1.6752707428e-72	3.5927031914e-11	1.2166953813e-09	3.7036724381e-20	7.0343857112e-09	8.6528441280e-13	2.2966920590e-12	1.4717130350e-15	6.6997983550e-11	3.1647087845e-10	2.7286793304e-06	1.0363526380e-16	1.0090112053e-18	1.0344103984e-29	5.3436960221e-25	4.6220585259e-04	9.2349683509e-08	2.9055693143e-27	2.5410163239e-20	5.6997864929e-12	4.1351448592e-17	2.1233997083e-12	2.5258625686e-17	1.7151340444e-14	1.4564235049e-22	1.0750811895e-16	3.6197149240e-18	4.3012422676e-14	1.1967632937e-18	3.3573072623e-14	4.0572512106e-19	3.1155935605e-27	9.0012473892e-20	6.5896479778e-20	7.3878533773e-29	1.2777610076e-21	2.9777051577e-38	1.4511070322e-23	2.1398062039e-31	2.0589776801e-15	3.6673424857e-19	9.5873237714e-26	2.8845635063e-38	4.1521460976e-11	2.8586038369e-23	8.3728442077e-01	3.0608484937e-12	1.9647322702e-19	3.4275140980e-04	2.2557410829e-07	1.5588046820e-21	2.3557181347e-15	4.9474079789e-27	5.4425392283e-43	6.8441199464e-05	8.6292368748e-22	1.9309558816e-47	2.3458919304e-60	5.0464919499e-73	3.5976681442e-20	4.3979659896e-39	1.1885016272e-16	9.5798917773e-23	5.7843079625e-17	1.1692522846e-20	6.4047630358e-25	5.0567339944e-19	1.0227016397e-15	1.4289680755e-23	1.0096481408e-18	3.3747885031e-19	3.5500869157e-21	4.4914224346e-25	3.2824260819e-22	4.0400945951e-32	5.3071168107e-24	1.5309429802e-29	4.5614517386e-24	4.2886303516e-28	1.8038451563e-24	1.4881913215e-27	8.3447683529e-34	6.3116332024e-30	1.3757943100e-17	2.3866911883e-15	1.7238758368e-17	1.7187762587e-20	2.1274019228e-19	2.1428810187e-26	4.6034371884e-17	2.6593680219e-24	3.6587249608e-21	3.1496413504e-21	5.7167379656e-27	1.3829861972e-21	7.7008169723e-23	1.0302887955e-07	4.6243855531e-08	1.3042171153e-08
2.9550000000e-01	1.3435000000e+03	2.3596524509e+00	1.4382174883e-22	3.6457580916e-06	1.6236232228e-01	1.0623037340e-17	9.5858803331e-17	1.6752717089e-72	2.2084382192e-05	1.6752717089e-72	2.4878391918e-11	9.9453826115e-10	1.4809298031e-20	5.6313647693e-09	6.9545255951e-13	1.5736041237e-12	7.5690878751e-16	5.3619143068e-11	2.2326221827e-10	2.5446866430e-06	5.4658878664e-17	5.8419955115e-19	3.4177119330e-30	2.2276357289e-25	4.6238644547e-04	9.7532880396e-08	8.6861718736e-28	1.0772516732e-20	3.8989757636e-12	2.2552569537e-17	1.5961502830e-12	1.5141889158e-17	1.3114406521e-14	8.4889670260e-23	6.5362827684e-17	2.0662299023e-18	3.2461008474e-14	7.2001898451e-19	2.4205394732e-14	2.1979620639e-19	1.0660898377e-27	5.2691527374e-20	3.0604111480e-20	2.2161390420e-29	8.0298135655e-22	6.3462670610e-39	6.7677677011e-24	8.5818981797e-32	1.1048810800e-15	1.9971918720e-19	4.5951445896e-26	9.7982050107e-39	2.8322547252e-11	1.3236123454e-23	8.3728608845e-01	1.9775750997e-12	1.0875670156e-19	3.4255472769e-04	1.9724375348e-07	8.4393515628e-22	1.4585007381e-15	2.1883507727e-27	1.4470199773e-43	6.8456106318e-05	4.8114647936e-22	4.4241497343e-48	3.9329702661e-61	5.4433046052e-74	1.8971740512e-20	1.1655970240e-39	6.8574288289e-17	4.6346020487e-23	3.9002254225e-17	6.2128676779e-21	2.7299886836e-25	2.8258495506e-19	6.1187758962e-16	6.2199804804e-24	6.0265979409e-19	1.9908210748e-19	1.9570712271e-21	2.2287097802e-25	2.0866693979e-22	1.1918408747e-32	2.4308138940e-24	5.4685393698e-30	2.2849230871e-24	1.8100828936e-28	9.9206130795e-25	8.1143303072e-28	3.4661195142e-34	3.3303174248e-30	7.9526460557e-18	1.7132436967e-15	1.2601483999e-17	8.5032216569e-21	1.3606780211e-19	9.5553251109e-27	3.2753210792e-17	1.3169759124e-24	1.9586552637e-21	1.6832721436e-21	2.4288536878e-27	8.2922698771e-22	3.6586483941e-23	9.7058475766e-08	5.2225394063e-08	1.3264336497e-08
2.3430000000e-01	1.3157000000e+03	2.3596535904e+00	4.7728476101e-23	2.6801337504e-06	1.6236240068e-01	4.8319949441e-18	4.6649068219e-17	1.6752725179e-72	2.2084392857e-05	1.6752725179e-72	1.6549876094e-11	7.9626315867e-10	5.5323095521e-21	4.5107719329e-09	5.5976190474e-13	1.0545886640e-12	3.7519015299e-16	4.2955477820e-11	1.5746715297e-10	2.4539113259e-06	2.7566895650e-17	3.2625739231e-19	1.0488137578e-30	8.7958730089e-26	4.6247264175e-04	1.0353735462e-07	2.3892898095e-28	4.3721451203e-21	2.6850888640e-12	1.2268420500e-17	1.2420540479e-12	9.3113771783e-18	1.0605908627e-14	5.0172412938e-23	3.9255495561e-17	1.1593591343e-18	2.4893426595e-14	4.3604213562e-19	1.7656507153e-14	1.1643090318e-19	3.4298043927e-28	3.0652519758e-20	1.3598241753e-20	6.2363548457e-30	5.0474876298e-22	1.2574249342e-39	3.1986532322e-24	3.4443100926e-32	5.6256488921e-16	1.0339262529e-19	2.0725920913e-26	3.0447836931e-39	1.8529066109e-11	5.6922400613e-24	8.3728729783e-01	1.2436968798e-12	5.8442402265e-20	3.4244984572e-04	1.7394240536e-07	4.5158105715e-22	8.5907319963e-16	8.9569240335e-28	3.4132132172e-44	6.8468350831e-05	2.5557875621e-22	8.9702062927e-49	5.6883878957e-62	4.8829789576e-75	9.3019283591e-21	2.7123041323e-40	3.8149852499e-17	2.1731578039e-23	2.6995152954e-17	3.2883198850e-21	1.1263006937e-25	1.5796039686e-19	3.6097747218e-16	2.6746599544e-24	3.7239557977e-19	1.2146076642e-19	1.1207722925e-21	1.1615257327e-25	1.4370514874e-22	3.3934763209e-33	1.1265747166e-24	1.9547225754e-30	1.1903465320e-24	7.9112388843e-29	5.8345414847e-25	4.8244721257e-28	1.5496930169e-34	1.9496391105e-30	4.6086619360e-18	1.2682715717e-15	9.3376222478e-18	4.2439443826e-21	9.2453454113e-20	4.1815835540e-27	2.4027315570e-17	6.5875253585e-25	9.9576748828e-22	9.0442553594e-22	1.0275525339e-27	5.1480356077e-22	1.6653953473e-23	9.0186698981e-08	5.9105571467e-08	1.3462618485e-08
