#27  NH3        HV                                          NH2        H
         335          38
   27   100   101   577   580   581   658   659   660   809   982   990  1533  1542  1547  1551  1553  1555  1555  1558  1561  1600  1610  1618  1648  1654  1676  1684  1719  1720  1722  1723  1724  1732  1742  1762  1784  1847
-2569   0.6652E+06   0.2174E+24   0.0000E+00   0.8855E+21   0.2375E+20   0.9084E+16   0.2165E+24   0.2344E+18   0.4903E+15   0.1811E+20   0.6848E+07   0.4699E+16   0.4899E+15   0.6953E+12   0.3951E+14   0.1170E+14   0.9402E+11   0.6489E+13   0.1091E+12   0.5276E+06   0.5276E+06   0.4422E+11   0.6784E+10   0.5439E+11   0.5857E+05   0.1290E+05   0.2178E+12   0.7795E+08   0.5816E+10   0.1881E+10   0.4561E+19   0.3586E+17   0.6619E+15   0.1219E+11   0.1288E+10   0.1242E+07   0.1542E+06   0.2169E+11   0.2148E+14   0.2592E+13
-2528   0.6492E+06   0.1741E+24   0.0000E+00   0.6619E+21   0.1776E+20   0.6405E+16   0.1734E+24   0.1861E+18   0.3336E+15   0.1449E+20   0.4502E+07   0.3351E+16   0.2896E+15   0.4307E+12   0.2562E+14   0.8129E+13   0.6322E+11   0.4682E+13   0.7837E+11   0.3787E+06   0.3787E+06   0.3247E+11   0.4962E+10   0.3580E+11   0.3667E+05   0.7538E+04   0.1554E+12   0.5181E+08   0.3869E+10   0.1210E+10   0.3720E+19   0.2519E+17   0.5230E+15   0.9288E+10   0.9946E+09   0.7683E+06   0.9050E+05   0.1459E+11   0.1430E+14   0.1885E+13
-2487   0.6237E+06   0.1385E+24   0.0000E+00   0.4923E+21   0.1321E+20   0.4556E+16   0.1380E+24   0.1448E+18   0.2334E+15   0.1149E+20   0.3025E+07   0.2470E+16   0.1797E+15   0.2788E+12   0.1716E+14   0.5752E+13   0.4310E+11   0.3395E+13   0.5584E+11   0.2660E+06   0.2660E+06   0.2367E+11   0.3553E+10   0.2424E+11   0.2377E+05   0.4642E+04   0.1103E+12   0.3502E+08   0.2617E+10   0.7958E+09   0.2990E+19   0.1806E+17   0.4073E+15   0.6988E+10   0.7566E+09   0.4923E+06   0.5609E+05   0.1023E+11   0.9860E+13   0.1409E+13
-2447   0.5994E+06   0.1103E+24   0.0000E+00   0.3667E+21   0.9845E+19   0.3246E+16   0.1099E+24   0.1128E+18   0.1636E+15   0.9123E+19   0.2037E+07   0.1822E+16   0.1118E+15   0.1808E+12   0.1151E+14   0.4076E+13   0.2944E+11   0.2466E+13   0.3985E+11   0.1871E+06   0.1871E+06   0.1729E+11   0.2548E+10   0.1644E+11   0.1544E+05   0.2864E+04   0.7849E+11   0.2371E+08   0.1773E+10   0.5247E+09   0.2405E+19   0.1296E+17   0.3174E+15   0.5261E+10   0.5759E+09   0.3160E+06   0.3483E+05   0.7177E+10   0.6809E+13   0.1054E+13
-2407   0.5761E+06   0.8750E+23   0.0000E+00   0.2716E+21   0.7295E+19   0.2296E+16   0.8721E+23   0.8752E+17   0.1137E+15   0.7214E+19   0.1359E+07   0.1333E+16   0.6872E+14   0.1160E+12   0.7651E+13   0.2866E+13   0.1996E+11   0.1780E+13   0.2827E+11   0.1310E+06   0.1310E+06   0.1255E+11   0.1819E+10   0.1105E+11   0.9922E+04   0.1746E+04   0.5549E+11   0.1592E+08   0.1191E+10   0.3428E+09   0.1927E+19   0.9236E+16   0.2462E+15   0.3938E+10   0.4360E+09   0.2007E+06   0.2136E+05   0.4989E+10   0.4659E+13   0.7829E+12
-2367   0.5542E+06   0.6907E+23   0.0000E+00   0.1997E+21   0.5364E+19   0.1608E+16   0.6886E+23   0.6762E+17   0.7805E+14   0.5674E+19   0.8944E+06   0.9626E+15   0.4147E+14   0.7309E+11   0.5010E+13   0.1992E+13   0.1337E+11   0.1273E+13   0.1990E+11   0.9100E+05   0.9100E+05   0.9049E+10   0.1290E+10   0.7317E+10   0.6273E+04   0.1044E+04   0.3888E+11   0.1055E+08   0.7899E+09   0.2208E+09   0.1537E+19   0.6501E+16   0.1898E+15   0.2926E+10   0.3277E+09   0.1253E+06   0.1284E+05   0.3415E+10   0.3141E+13   0.5743E+12
-2328   0.5324E+06   0.5456E+23   0.0000E+00   0.1470E+21   0.3948E+19   0.1128E+16   0.5440E+23   0.5222E+17   0.5381E+14   0.4465E+19   0.5911E+06   0.6983E+15   0.2520E+14   0.4637E+11   0.3297E+13   0.1388E+13   0.8990E+10   0.9120E+12   0.1401E+11   0.6323E+05   0.6323E+05   0.6529E+10   0.9150E+09   0.4869E+10   0.3987E+04   0.6288E+03   0.2728E+11   0.7020E+07   0.5257E+09   0.1428E+09   0.1225E+19   0.4593E+16   0.1463E+15   0.2173E+10   0.2463E+09   0.7872E+05   0.7780E+04   0.2351E+10   0.2128E+13   0.4229E+12
-2289   0.5114E+06   0.4293E+23   0.0000E+00   0.1075E+21   0.2890E+19   0.7866E+15   0.4282E+23   0.4016E+17   0.3681E+14   0.3499E+19   0.3873E+06   0.5026E+15   0.1515E+14   0.2912E+11   0.2151E+13   0.9607E+12   0.5999E+10   0.6495E+12   0.9811E+10   0.4367E+05   0.4367E+05   0.4685E+10   0.6456E+09   0.3211E+10   0.2509E+04   0.3744E+03   0.1902E+11   0.4632E+07   0.3470E+09   0.9161E+08   0.9726E+18   0.3221E+16   0.1121E+15   0.1604E+10   0.1840E+09   0.4894E+05   0.4658E+04   0.1604E+10   0.1429E+13   0.3092E+12
-2250   0.4915E+06   0.3363E+23   0.0000E+00   0.7816E+20   0.2101E+19   0.5434E+15   0.3355E+23   0.3076E+17   0.2489E+14   0.2729E+19   0.2507E+06   0.3577E+15   0.8967E+13   0.1801E+11   0.1385E+13   0.6578E+12   0.3963E+10   0.4589E+12   0.6818E+10   0.2998E+05   0.2998E+05   0.3338E+10   0.4529E+09   0.2091E+10   0.1557E+04   0.2192E+03   0.1315E+11   0.3021E+07   0.2265E+09   0.5803E+08   0.7686E+18   0.2235E+16   0.8547E+14   0.1175E+10   0.1365E+09   0.2997E+05   0.2741E+04   0.1080E+10   0.9475E+12   0.2236E+12
-2212   0.4726E+06   0.2637E+23   0.0000E+00   0.5684E+20   0.1528E+19   0.3755E+15   0.2631E+23   0.2358E+17   0.1684E+14   0.2129E+19   0.1623E+06   0.2544E+15   0.5307E+13   0.1114E+11   0.8916E+12   0.4505E+12   0.2620E+10   0.3244E+12   0.4743E+10   0.2060E+05   0.2060E+05   0.2381E+10   0.3182E+09   0.1362E+10   0.9654E+03   0.1283E+03   0.9101E+10   0.1972E+07   0.1478E+09   0.3677E+08   0.6075E+18   0.1551E+16   0.6515E+14   0.8611E+09   0.1012E+09   0.1836E+05   0.1612E+04   0.7264E+09   0.6279E+12   0.1616E+12
